formula,intensity,m/z
C11H6O7,4364552,249.00406
C12H10O6,9427220,249.04047
C9H14O8,3130651,249.06157
C13H14O5,5244192,249.07685
C14H18O4,2770732,249.11321
C15H22O3,5484856,249.14962
C9H17N1O7,3363438,250.0932
C11H8O7,7979934,251.01972
C12H12O6,9245610,251.05613
C9H16O8,7979953,251.07724
C13H16O5,10507190,251.09251
C14H20O4,6876098,251.12885
C15H24O3,3648462,251.16527
C10H3N7O2,4860138,252.02757
C11H10O7,12326453,253.0354
C8H14O9,20006460,253.05653
C12H14O6,9510465,253.07174
C9H18O8,41125448,253.09291
C13H18O5,9721421,253.10813
C14H22O4,39741016,253.14454
C15H26O3,4007525,253.18096
C16H30O2,77391472,253.21732
C11H13N1O6,2814856,254.06698
C12H17N1O5,2226580,254.10342
C10H8O8,3751103,255.01465
C11H12O7,8925386,255.05105
C12H16O6,20404438,255.08743
C13H20O5,14227682,255.12378
C14H24O4,38127856,255.16016
C15H28O3,4447482,255.19657
C16H32O2,174958848,255.23298
C11H15N1O6,2303517,256.08263
C10H10O8,3455827,257.03031
C14H10O5,2406232,257.04552
C11H14O7,4808543,257.0667
C15H14O4,2475876,257.08193
C12H18O6,9024363,257.10304
C13H22O5,11637623,257.13943
C14H26O4,64416644,257.17582
C11H17N1O6,11664560,258.09834
C9H8O9,6960602,259.00954
C13H8O6,43953632,259.02483
C10H12O8,7665126,259.04597
C14H12O5,4846059,259.06119
C11H16O7,3365362,259.08236
C12H20O6,14949885,259.11873
C13H24O5,5901834,259.15511
C14H28O4,18726422,259.19147
C9H11N1O8,5875499,260.04123
C10H19N3O5,2701638,260.12517
C8H10N2O8,2467438,261.03652
C13H10O6,7985264,261.04044
C10H14O8,2773110,261.06159
C14H14O5,4357244,261.07683
C11H18O7,5424258,261.09796
C12H22O6,33099918,261.13436
C9H13N1O8,2634170,262.05684
C10H17N1O7,3639749,262.0932
C12H8O7,10775282,263.01973
C9H12O9,28250872,263.04088
C13H12O6,13812477,263.0561
C10H16O8,2646788,263.07725
C14H16O5,3500809,263.09248
C11H20O7,3594000,263.11364
C15H20O4,5502741,263.12885
C12H24O6,5984028,263.15004
C11H3N7O2,2759735,264.02755
C10H19N1O7,3178578,264.10885
C12H10O7,10558844,265.03538
C13H14O6,11081096,265.07177
C14H18O5,5963156,265.10816
C8H13N1O9,6352579,266.05165
