,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
4576,4253,249.05266736322505,249.05346809130168,,3136394.129348097,620717.9501718987,6.248937798203542,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4577,4254,249.05019623677197,249.05099695742763,,2274038.2828272497,620724.4497697135,4.5307838218262155,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4578,4256,249.03204003008096,249.03284069621233,,6516839.224330667,620769.700008095,12.984121661457053,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4579,4257,249.0214239258505,249.02222456010094,,7790932.098312772,620796.2001256396,15.522618671175474,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4580,4258,249.01384776994223,249.0146483814409,,6184474.099113825,620814.70002616,12.321918855267043,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4581,4260,248.9847891554248,248.98558967965806,,2569494.7613018514,620887.1998843796,5.119450003409652,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4582,4261,248.58237927473496,248.5831785904653,,6517455.031413688,621892.1998231506,12.985348592766956,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4583,4262,248.5815724874883,248.58237180079567,,4283277.517462346,177684.91425881104,8.533983190635935,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4584,4263,248.58091711679754,248.58171642813667,,354069853.64012975,621895.9498972443,705.4472111501133,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4585,4264,248.58003327274676,248.5808325814315,,4612831.601291634,1243796.9009865015,9.190585290392198,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4586,4265,248.57892551877535,248.57972482413322,,19029181.65198491,621900.949823844,37.91365740079544,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4587,4266,248.08014563435455,248.08094344170928,,6660748.092004742,108374.94781136498,13.270845053230557,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4588,4267,248.0792315766954,248.08002938130483,,1501972255.7874882,623153.9500230261,2992.522882637301,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4589,4268,248.0785707892344,248.07936859185918,,15846220.755380506,166173.8532877583,31.571940181368905,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4590,4269,248.07833636932037,248.0791341712411,,16377673.80176782,1246312.4007063645,32.630804881587686,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4591,4270,248.07776206456592,248.0785598647618,,3159618.0216084453,85951.92411999228,6.295208978476814,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4592,4272,248.06929921756452,248.0700969923428,,2905778.9013307015,623178.4498845801,5.789461037386252,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4593,4273,248.06054599555046,248.061343744039,,2045276.3197162282,623200.4498184063,4.074999497815625,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4594,4274,248.04240091469515,248.04319860868603,,4730950.957136226,623246.4499213618,9.425925772804765,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4595,4276,248.03179910952926,248.03259677167821,,4940025.110474909,623272.6998036912,9.842484191659175,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4596,4277,248.02422844307057,248.0250260824814,,9657141.623671738,623291.6998481627,19.240846279517243,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4597,4279,248.01363502080955,248.01443262840354,,6830438.611909626,623318.699679203,13.60893569493535,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4598,4280,248.0059816099488,248.00677919455612,,4731730.639732654,623337.9499060143,9.427479208963133,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4599,4281,247.99546961734137,247.99626717037634,,3682334.977347037,623364.4501117979,7.336667930306858,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4600,4282,247.57310235678352,247.57389864122132,,10648246.648605965,499542.15990927006,21.215519549801755,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4601,4283,247.51808888467286,247.51888500387048,,2128967.918235924,624566.6997334142,4.241746268729428,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4602,4291,247.05274689323943,247.05354161467605,,2701644.8475789144,625742.6998860412,5.382745251109991,-1,,,,,,,,unassigned,,,,,,,,,,,,,
4603,4293,247.0396268206902,247.04042150271647,,6880665.822445883,625775.9498546292,13.709008167167527,-1,,,,,,,,unassigned,,,,,,,,,,,,,
