formula,intensity,m/z
C16H14O7,5875065,317.06668
C15H12O8,33203892,319.04593
C16H16O7,7704250,319.08235
C17H20O6,34416320,319.11872
C14H10O9,6025194,321.02518
C15H14O8,38053872,321.06162
C16H18O7,13584373,321.09797
C18H26O5,2231809,321.17075
C14H12O9,3594529,323.04087
C15H16O8,3514663,323.07724
C17H24O6,2953522,323.15006
C18H28O5,10033463,323.18639
C14H14O9,4356692,325.05648
C11H18O11,3340887,325.07763
C15H18O8,2953817,325.09293
C16H22O7,2987615,325.12926
C17H26O6,9202276,325.16569
C18H30O5,32246378,325.20204
C13H13N1O9,4539114,326.05183
C18H16O6,9923461,327.08743
C11H20O11,2281350,327.09332
C15H20O8,3873672,327.10853
C16H24O7,2914189,327.14497
C17H28O6,2351507,327.18122
C18H32O5,73452440,327.2177
C19H36O4,3855261,327.25411
C17H14O7,4507818,329.06667
C17H30O6,3520701,329.19699
C18H34O5,29945026,329.23336
C19H38O4,13208776,329.26975
C16H12O8,4352460,331.0459
C13H16O10,14654927,331.0671
C17H16O7,5987793,331.08234
C14H20O9,2553812,331.10348
C18H20O6,3413462,331.11871
C18H36O5,13708777,331.24899
C15H10O9,9953002,333.02524
C16H14O8,12631791,333.06157
C17H18O7,6115061,333.098
C18H22O6,4665082,333.13433
C15H12O9,4812811,335.04084
C16H16O8,24956944,335.07726
C17H20O7,70209560,335.11361
C22H43N1O1,4606146,336.32719
C10H6N6O8,2765091,337.01733
C15H14O9,12394792,337.05649
C16H18O8,31035694,337.0929
C18H26O6,4636984,337.16569
C11H26N6O6,2227514,337.18426
C16H21N1O7,4653503,338.12451
C14H12O10,7119423,339.03579
C15H16O9,7180868,339.07214
C12H20O11,4641351,339.09333
C16H20O8,2374217,339.10857
C17H24O7,4573774,339.14491
C18H28O6,6728275,339.18134
C15H18O9,3173212,341.08778
C12H22O11,28390238,341.10894
C16H22O8,4045665,341.12421
C17H26O7,4592486,341.16055
C18H30O6,16208747,341.19702
C12H30N4O7,3157868,341.20419
C19H34O5,2454384,341.2333
C20H38O4,3446645,341.26979
C13H13N1O10,19076064,342.04669
C14H16O10,9606254,343.06706
C18H16O7,3086448,343.08234
C11H20O12,2707569,343.08821
C15H20O9,2900083,343.10343
C16H24O8,8238200,343.13982
C18H32O6,29742210,343.21261
C19H36O5,4930695,343.24902
C17H14O8,3049855,345.06161
C18H18O7,2670980,345.09796
C15H22O9,3294599,345.1191
C18H34O6,5490070,345.22829
C19H38O5,4230555,345.26466
C17H16O8,6936211,347.07723
C18H20O7,3783319,347.11363
C16H14O9,15824799,349.05653
C17H18O8,6707108,349.09288
C12H16O12,7987374,351.05692
C16H16O9,17397936,351.07215
C17H20O8,4935861,351.10856
C18H24O7,2234041,351.14488
C19H28O6,3305662,351.18136
C20H32O5,3315907,351.21772
C15H15N1O9,21838134,352.06743
C15H14O10,6879674,353.05147
C16H18O9,17824190,353.08779
C17H22O8,2249156,353.12426
C18H26O7,5030345,353.16056
C20H34O5,6402515,353.23335
C15H17N1O9,11573829,354.08306
C15H16O10,2971337,355.06709
C12H20O12,4807372,355.08821
C16H20O9,2384590,355.10342
C17H24O8,3684051,355.1398
C18H28O7,3560152,355.17628
C19H32O6,2272989,355.21258
C12H22O12,4766682,357.10387
C16H22O9,4273116,357.1191
C17H26O8,3213281,357.15551
C18H30O7,4772838,357.19187
C19H34O6,3396587,357.22823
C21H42O4,3611637,357.301
C18H16O8,2535651,359.07727
C16H24O9,13843691,359.13475
C20H24O6,10763501,359.15001
C18H32O7,5537013,359.20756
C18H35N1O6,4486527,360.23917
C13H14O12,2590186,361.04122
C17H14O9,5447149,361.0565
C18H18O8,4974065,361.0929
C15H22O10,3485172,361.11403
C18H34O7,2379267,361.22314
C13H16O12,5254905,363.05688
C17H16O9,9604859,363.07215
C18H20O8,6133504,363.10857
C20H28O6,2471690,363.18133
C15H11N1O10,4328316,364.03098
C16H14O10,3078149,365.05149
C13H18O12,4248584,365.07255
C17H18O9,4413450,365.08779
C19H26O7,2967572,365.16057
C20H30O6,7487513,365.19696
C21H34O5,4215838,365.23337
C15H13N1O10,7356556,366.04671
C17H37N1O7,14876839,366.24975
C12H16O13,2803987,367.05188
C16H16O10,2317590,367.06714
C17H20O9,11464986,367.10347
C18H24O8,2407711,367.13978
C19H28O7,4346148,367.1762
C20H32O6,4149545,367.21263
C21H36O5,7899438,367.24898
C15H15N1O10,91120032,368.06233
C12H18O13,43065892,369.06748
C17H22O9,2550316,369.11916
C19H30O7,3157558,369.19188
C15H17N1O10,12079790,370.078
C12H20O13,4089655,371.08308
C17H24O9,5811006,371.13474
C20H36O6,5473101,371.24389
C21H40O5,2703186,371.28032
C18H31N1O7,3641296,372.20282
C18H14O9,3079237,373.0565
C12H22O13,4353099,373.0988
C20H22O7,3062863,373.12926
C17H26O9,13603922,373.15039
C20H38O6,3946593,373.25958
C18H16O9,6350171,375.07214
C14H20N2O10,5025120,375.10445
C19H20O8,2675040,375.10857
C20H24O7,19203430,375.14493
C17H28O9,2524520,375.16605
C20H40O6,44557688,375.2752
C17H14O10,6604398,377.05145
C18H18O9,9545331,377.08783
C19H22O8,3322488,377.12418
C21H30O6,2243714,377.19696
C17H16O10,19031944,379.0671
C18H20O9,33875852,379.10344
C20H28O7,3985303,379.17623
C21H32O6,2817948,379.21258
C22H36O5,11823009,379.24902
C15H11N1O11,4990991,380.02591
C13H18O13,8071331,381.06748
C17H18O10,11868325,381.08276
C18H22O9,13326506,381.1191
C20H30O7,11004084,381.19191
C21H34O6,4038841,381.22834
C14H34N6O6,6516924,381.24689
C22H38O5,18098366,381.26466
C15H13N1O11,2325805,382.04158
C23H45N1O3,4776279,382.3327
C13H20O13,3424706,383.08308
C17H20O10,2843076,383.09835
C14H24O12,9660871,383.11951
C19H28O8,3188175,383.1711
C20H32O7,2375124,383.20752
C21H36O6,3891673,383.24396
C17H22O10,2237671,385.114
C22H26O6,2627310,385.16568
C21H38O6,3761916,385.25957
C19H16O9,2829316,387.07216
C13H24O13,13306890,387.11445
C17H24O10,8432653,387.1297
C22H28O6,43674644,387.1813
C21H40O6,5665826,387.27522
C14H15N1O12,4512916,388.05199
C18H31N1O8,2712746,388.19773
C19H18O9,4824366,389.08782
C20H22O8,4180275,389.12416
C17H26O10,24104246,389.14533
C22H30O6,4234558,389.19698
C21H42O6,3639628,389.29088
C18H33N1O8,3520981,390.21331
C18H16O10,5576277,391.06707
C19H20O9,2774619,391.10346
C20H24O8,12050016,391.13988
C10H28N6O10,3608166,391.17959
C16H7N7O6,3724008,392.03853
C19H39N1O7,17411850,392.26541
C17H14O11,3504001,393.0464
C10H14N6O11,2515844,393.06494
C18H18O10,15597446,393.08271
C19H22O9,2627468,393.11908
C20H26O8,2243473,393.15552
C21H30O7,3521431,393.19186
C22H34O6,2725789,393.22831
C23H38O5,5771170,393.26469
C19H41N1O7,6680638,394.2811
C17H16O11,56733876,395.06202
C18H20O10,64614588,395.09837
C20H28O8,3419335,395.17119
C21H32O7,4350157,395.20752
C22H36O6,3574994,395.24389
C23H40O5,3022040,395.28032
C17H18O11,7160304,397.07765
C18H22O10,10269174,397.11406
C20H30O8,7223809,397.18678
C21H34O7,4796935,397.22331
C22H38O6,2709005,397.25951
C20H16O9,3058475,399.07218
C20H32O8,2939712,399.20256
C21H36O7,4301638,399.23884
C22H40O6,2234188,399.27521
C20H18O9,5102703,401.08784
C17H22O11,2464882,401.10898
C22H26O7,7498875,401.16057
C21H38O7,3418250,401.25448
C19H16O10,3626418,403.06713
C20H20O9,3472824,403.10351
C17H24O11,5340603,403.12459
C21H24O8,2268606,403.13987
C22H28O7,105477568,403.17622
C21H40O7,3400147,403.27014
C22H44O6,16045529,403.3065
C14H15N1O13,13514324,404.0469
C12H23N1O14,4294237,404.10466
C19H18O10,7010048,405.08276
C20H22O9,15066886,405.11909
C21H26O8,2787084,405.15548
C22H30O7,4747027,405.19187
C24H38O5,4568863,405.26464
C21H42O7,3835682,405.28579
C24H13N3O4,7161769,406.08338
C17H12O12,2295880,407.02563
C10H12N6O12,3259467,407.04422
C18H16O11,2859086,407.06198
C19H20O10,4872277,407.09834
C20H24O9,2734171,407.13476
C21H28O8,2667617,407.17115
C22H32O7,2781287,407.20754
C24H40O5,7944308,407.28034
C32H10O1,2754982,409.06576
C18H18O11,4633000,409.07762
C19H22O10,3088815,409.11402
C21H30O8,2801083,409.18677
C22H34O7,3790274,409.22316
C23H38O6,4647368,409.25956
C24H42O5,2871758,409.29591
C20H25N7O3,30734954,410.19464
C21H16O9,2384645,411.07216
C14H20O14,9231110,411.07809
C18H20O11,3229449,411.09338
C21H32O8,4231964,411.20249
C22H36O7,3017506,411.23881
C21H18O9,5153900,413.08781
C15H26O13,3528819,413.13012
C21H34O8,3569795,413.21808
C20H16O10,40811988,415.06709
C21H20O9,8109530,415.10349
C21H36O8,2320881,415.2338
C20H18O10,11550535,417.08275
C17H22O12,2494283,417.10382
C21H22O9,4351822,417.1191
C22H26O8,19652436,417.15547
C23H30O7,2315100,417.19186
C20H34O9,2496352,417.21311
C24H34O6,2376547,417.22831
C14H16N2O13,4784315,419.05796
C22H28O8,79888592,419.17112
C24H36O6,7745759,419.24394
C21H40O8,4710627,419.26512
C25H40O5,3442918,419.28027
C22H44O7,28025066,419.30142
C21H43N1O7,9343400,420.29671
C11H14N6O12,7868987,421.05985
C19H18O11,4823615,421.07758
C20H22O10,5853766,421.11403
C21H26O9,2779725,421.15041
C23H34O7,3485275,421.22315
C24H38O6,4749922,421.25958
C25H42O5,12825193,421.29597
C19H20O11,8405960,423.09331
C20H24O10,3017679,423.12963
C22H32O8,2764766,423.20246
C24H40O6,14963692,423.27518
C22H18O9,47383892,425.08781
C19H22O11,2586969,425.10898
C22H34O8,2553199,425.21807
C24H42O6,4957566,425.29087
C21H16O10,6147813,427.06709
C22H36O8,4043527,427.23376
C18H39N1O10,3472344,428.24996
C21H18O10,15313028,429.08274
C20H16O11,9849378,431.06199
C21H20O10,34900520,431.09841
C14H24O15,20113964,431.10427
C15H28O14,8944179,431.1406
C23H28O8,3579449,431.1711
C21H36O9,3015238,431.22865
C20H18O11,15518671,433.07764
C21H22O10,4570071,433.11402
C22H26O9,19352544,433.15042
C24H34O7,4201455,433.22318
C26H42O5,2849790,433.29599
C20H21N1O10,5446830,434.10929
C15H12N6O10,2450811,435.05417
C20H20O11,7155076,435.09329
C24H20O8,3171719,435.10851
C21H24O10,3935628,435.12967
C22H28O9,8895892,435.16609
C11H28N6O12,4336021,435.16937
C23H32O8,2291100,435.20248
C24H36O7,9055651,435.23878
C25H40O6,3638700,435.27526
C26H44O5,10431923,435.31164
C11H14N6O13,11411251,437.05476
C19H18O12,3008311,437.07251
C20H22O11,4745024,437.10896
C21H26O10,3573576,437.14533
C15H30N6O9,4087636,437.20029
C23H34O8,3768152,437.21805
C24H38O7,6219616,437.25452
C25H42O6,12275560,437.29091
C33H12O2,31953144,439.0763
C12H20N6O12,20107518,439.10685
C20H24O11,4116738,439.12464
C24H40O7,4573475,439.27016
C22H18O10,2400424704,441.08271
C23H22O9,2825928,441.11893
C21H16O11,32330888,443.06202
C21H18O11,68163168,445.07764
C25H50O6,4103842,445.35349
C20H16O12,34248760,447.0569
C21H20O11,21444672,447.09329
C22H24O10,3864649,447.12969
C23H44O8,2672753,447.29633
C27H44O5,16668788,447.31165
C24H48O7,12138618,447.33277
C20H18O12,23067166,449.07256
C21H22O11,3505703,449.10898
C22H26O10,3345968,449.14536
C24H34O8,2908738,449.21811
C26H42O6,3570260,449.29089
C27H46O5,29776476,449.32729
C20H20O12,6341645,451.08815
C24H20O9,22666256,451.10347
C21H24O11,3313686,451.12455
C22H28O10,2937887,451.16101
C16H32N6O9,7760941,451.21599
C24H36O8,4566065,451.23371
C25H40O7,2808890,451.27016
C26H44O6,10894403,451.30657
C27H48O5,2882636,451.34294
C20H22O12,5838339,453.10381
C24H22O9,2369030,453.11905
C24H38O8,5262887,453.24938
C22H16O11,25305074,455.0621
C23H20O10,44359676,455.09841
C20H24O12,2837504,455.11954
C24H40O8,5074981,455.26506
C21H11N7O6,2934002,456.06975
C22H18O11,5918401024,457.0776
C24H42O8,2243114,457.28069
C25H46O7,2448947,457.31711
C21H16O12,8995832,459.05688
C22H20O11,14840833,459.09326
C24H28O9,2677780,459.1661
C15H36N6O10,3057704,459.2422
C21H18O12,43755020,461.07258
C22H22O11,5359125,461.10905
C24H30O9,2264616,461.18168
C25H34O8,5672498,461.21805
C27H42O6,3748421,461.29097
C28H46O5,2835023,461.32729
C20H17N1O12,3395348,462.06788
C20H16O13,5675036,463.05189
C21H20O12,64366628,463.08825
C22H24O11,3105840,463.12455
C24H32O9,2317379,463.19737
C25H36O8,4302925,463.23377
C27H44O6,20662368,463.30655
C28H48O5,3774570,463.34292
C20H18O13,2961982,465.06747
C21H22O12,6273608,465.10392
C17H34N6O9,11631211,465.23165
C25H38O8,2496112,465.24954
C26H42O7,3406458,465.28588
C27H46O6,30550660,465.32222
C20H20O13,2454632,467.08314
C24H20O10,8481900,467.09835
C21H24O12,3880050,467.11958
C25H24O9,74230904,467.1348
C25H40O8,3326106,467.26497
C26H44O7,2441380,467.30146
C23H18O11,3055251,469.07769
C16H22O16,2504341,469.08354
C20H22O13,3157657,469.09885
C24H22O10,4163229,469.11403
C21H26O12,4249251,469.13512
C24H38O9,2903746,469.24437
C23H41N3O7,2429927,470.28737
C22H16O12,109686976,471.05688
C23H20O11,155431120,471.09328
C24H24O10,4724950,471.12967
C25H28O9,6127840,471.16607
C29H44O5,3300618,471.31165
C22H18O12,69186304,473.0726
C23H22O11,2799372,473.10899
C24H26O10,2762518,473.14529
C21H30O12,3213084,473.16644
C29H46O5,5153611,473.32729
C27H54O6,2640731,473.38472
C17H12N6O11,3526974,475.04919
C21H16O13,5780799,475.05186
C22H20O12,28677450,475.08824
C21H20N2O11,2529612,475.09943
C24H28O10,2810206,475.16099
C25H32O9,3509609,475.19738
C29H48O5,6915476,475.34289
C21H18O13,18053006,477.06732
C26H14N4O6,6911891,477.08388
C22H22O12,6109081,477.10386
C24H30O10,3880878,477.17669
C25H34O9,4417465,477.21303
C27H42O7,4212686,477.28577
C28H46O6,3741657,477.32211
C29H50O5,3622884,477.3585
C20H17N1O13,174962864,478.06279
C21H20O13,78428648,479.08315
C25H36O9,3463696,479.22868
C27H44O7,8370726,479.30144
C28H48O6,4260401,479.33775
C20H18O14,8961080,481.06225
C21H22O13,5829699,481.09883
C25H22O10,5846088,481.11405
C16H30N6O11,4830303,481.19012
C25H38O9,2423919,481.24441
C26H42O8,2688122,481.28076
C27H46O7,4926598,481.31711
C15H20N2O16,3312285,483.07411
C20H20O14,11407006,483.07804
C24H20O11,2879139,483.09334
C21H24O13,11546281,483.11449
C25H24O10,133021360,483.12971
C26H28O9,6606522,483.16611
C30H60O4,2590478,483.44184
C23H18O12,9445638,485.0726
C24H22O11,5099793,485.10892
C21H26O13,11063575,485.13006
C25H26O10,7227676,485.14527
C26H30O9,2308392,485.1817
C22H16O13,5841776,487.05179
C23H20O12,109462392,487.08823
C24H24O11,3750791,487.12461
C25H28O10,4782994,487.16096
C29H44O6,9192384,487.30656
C22H19N1O12,12244149,488.08346
C22H18O13,20448748,489.0675
C23H22O12,19539448,489.10387
C25H30O10,3670544,489.17661
C29H46O6,8685118,489.32217
C21H16O14,2603110,491.04674
C22H20O13,7157874,491.08314
C23H24O12,2465917,491.11956
C25H32O10,2617493,491.19232
C27H40O8,2362540,491.26508
C29H48O6,15632580,491.33779
C21H19N1O13,3881395,492.07846
C22H22O13,4350718,493.09876
C24H30O11,2788118,493.17163
C27H42O8,2421562,493.28078
C29H50O6,6488914,493.35349
C20H17N1O14,411946048,494.0577
C21H20O14,4832647,495.07797
C26H24O10,2251160,495.12978
C17H32N6O11,6931889,495.20585
C25H36O10,3195319,495.22361
C27H44O8,5123535,495.29629
C28H48O7,5176795,495.33274
C21H22O14,11735075,497.0937
C25H22O11,6195240,497.10892
C22H26O13,2358319,497.13002
C26H26O10,6447156,497.14531
C25H38O10,4372564,497.23929
C31H62O4,2820252,497.45756
C15H12N6O14,5272238,499.03389
C24H20O12,9003712,499.08819
C21H24O14,31429318,499.10933
C25H24O11,45191884,499.12458
C26H28O10,25326296,499.16095
C15H15N7O13,3432458,500.06561
C15H14N6O14,2698585,501.04939
C23H18O13,12318047,501.06751
C20H22O15,3139942,501.08865
C24H22O12,7009644,501.10392
C21H26O14,8807795,501.12505
C25H26O11,5631352,501.1403
C26H30O10,5049733,501.17656
C29H42O7,4281770,501.28589
C30H46O6,2331062,501.32217
C23H20O13,263968784,503.08312
C24H24O12,2258975,503.11959
C18H32O16,10692654,503.16179
C26H32O10,2656312,503.19233
C17H40N6O11,3530835,503.26843
C29H44O7,14186590,503.30142
C22H19N1O13,449173856,504.07836
C22H18O14,15301313,505.06243
C37H14O3,7232202,505.08696
C23H22O13,18586318,505.0988
C25H30O11,4297448,505.17154
C20H38N6O9,3959559,505.26288
C29H46O7,10234650,505.31711
C22H20O14,3761541,507.07804
C19H36N6O10,3148223,507.24225
C29H48O7,14564830,507.33277
C21H19N1O14,11923173,508.07329
C18H34N6O11,9646205,509.22149
C27H42O9,2732177,509.27554
C28H46O8,2453662,509.31207
C29H50O7,4823211,509.34833
C32H62O4,4131026,509.45764
C21H20O15,2824982,511.07291
C36H16O4,3363615,511.09744
C26H24O11,4428585,511.12464
C27H28O10,7103286,511.16094
C27H44O9,3591013,511.29126
C28H48O8,3452786,511.3277
C32H64O4,3781542,511.47318
C22H15N3O12,64709756,512.05855
C24H18O13,3699177,513.06759
C25H22O12,6401526,513.10389
C26H26O11,12355076,513.14029
C26H9N7O6,8062802,514.05435
C22H17N3O12,2610009,514.07404
C24H21N1O12,6711138,514.09917
C24H20O13,22382796,515.08318
C26H12N8O5,3741901,515.08594
C21H24O15,6439124,515.10429
C25H24O12,32647386,515.11955
C26H28O11,35350760,515.15591
C27H32O10,3297524,515.1923
C28H11N3O8,11573808,516.04735
C15H15N7O14,5087797,516.06063
C15H10N4O17,3581841,516.99693
C15H14N6O15,9780130,517.04435
C24H22O13,21138358,517.09881
C25H26O12,3515333,517.1352
C26H30O11,4541394,517.17146
C17H38N6O12,2597870,517.24766
C29H42O8,7240699,517.2807
C30H46O7,2349064,517.3171
C23H21N1O13,7621931,518.09403
C23H20O14,3919516,519.07809
C24H24O13,18353834,519.11443
C17H40N6O12,4761314,519.26329
C21H40N6O9,6450920,519.27854
C29H44O8,14012142,519.2963
C22H19N1O14,897314816,520.07326
C14H14N6O16,12747138,521.03955
C23H22O14,4247959,521.09368
C20H38N6O10,7647702,521.25788
C29H46O8,10793450,521.31201
C19H17N5O13,2736909,522.07495
C14H16N6O16,5053573,523.05518
C22H20O15,6640780,523.07298
C29H48O8,8250606,523.32771
C30H52O7,25105660,523.36411
C32H7N5O4,3651074,524.04229
C21H19N1O15,3485196,524.06815
C23H14N2O13,3236741,525.04237
C26H22O12,3989405,525.10384
C27H26O11,4044715,525.14025
C21H21N1O15,3171611,526.08391
C25H20O13,4805282,527.08317
C18H24O18,2638500,527.08917
C26H24O12,6562480,527.11956
C27H28O11,2853566,527.15598
C24H18O14,7839151,529.06242
C42H10O1,3036592,529.06565
C25H22O13,21708220,529.09877
C26H26O12,10034635,529.13516
C24H26N4O10,5662164,529.15762
C27H46O10,2355725,529.30206
C24H21N1O13,2725704,530.09408
C25H45N3O9,2268062,530.30854
C24H20O14,184942800,531.07802
C25H24O13,343933152,531.11444
C26H28O12,4651247,531.15089
C27H32O11,2820349,531.18718
C29H40O9,2331930,531.26008
C24H22O14,32572412,533.09373
C25H26O13,6136844,533.13009
C27H34O11,2605097,533.20291
C29H42O9,6229063,533.27559
C22H42N6O9,8176718,533.29419
C19H17N7O12,2344335,534.08631
C23H21N1O14,23815568,534.0889
C24H24O14,2749232,535.10933
C18H32O18,7264066,535.15157
C23H36O14,3033943,535.20329
C21H40N6O10,10286963,535.2735
C29H44O9,7022459,535.29131
C22H19N1O15,3598521,536.06821
C15H18N6O16,4721238,537.07092
C23H22O15,9386589,537.08865
C25H30O13,8448635,537.16131
C29H46O9,8301239,537.30695
C23H13N3O13,10312677,538.03776
C29H48O9,5344764,539.32257
C30H52O8,25251338,539.35901
C23H15N3O13,44338988,540.05344
C21H19N1O16,97783600,540.06294
C15H18N4O18,4975826,541.05454
C26H22O13,10133732,541.09883
C19H26O18,2308327,541.10476
C27H26O12,10748147,541.13518
C27H9N7O7,2522741,542.04909
C35H13N1O6,2758268,542.06723
C28H16O12,4420640,543.05705
C25H20O14,7328809,543.07806
C26H24O13,7623736,543.11449
C27H28O12,2433096,543.15101
C25H22O14,44963716,545.09367
C27H14N8O6,5027719,545.09658
C18H26O19,32348040,545.09955
C26H26O13,13735829,545.13006
C31H46O8,2905059,545.31202
C25H25N1O13,9709889,546.12538
C24H20O15,543431360,547.07298
C25H24O14,772020992,547.10934
C26H28O13,2841338,547.14566
C22H40N6O10,2337585,547.27355
C30H44O9,2615097,547.29127
C24H22O15,2453064,549.08845
C19H34O18,3030634,549.16725
C21H38N6O11,2282127,549.25268
C29H42O10,2416279,549.27057
C22H42N6O10,12508831,549.28915
C23H21N1O15,3010556,550.08389
C28H24O12,3017156,551.11957
C23H36O15,9138663,551.19811
C29H44O10,3062286,551.2863
C32H56O7,7393855,551.39534
C28H27N1O11,2425741,552.15116
