formula,intensity,m/z
C11H18O7,4309592,261.09786
C12H22O6,5902945,261.13437
C16H22O3,862052,261.14966
C12H8O7,2612272,263.01974
C9H12O9,1285429,263.0409
C13H12O6,4723769,263.0561
C14H16O5,1419842,263.0925
C15H20O4,1806154,263.12886
C12H10O7,3161627,265.03537
C9H14O9,1077792,265.05646
C13H14O6,3398180,265.07178
C14H18O5,1891884,265.10815
C12H12O7,2412545,267.05103
C16H12O4,914437,267.06629
C9H16O9,2565638,267.07215
C13H16O6,2131978,267.08743
C14H20O5,1529362,267.1238
C15H24O4,9805851,267.1602
C16H28O3,2105380,267.19656
C17H32O2,4323373,267.23297
C11H10O8,1525721,269.03031
C15H10O5,5421533,269.04556
C12H14O7,1762786,269.06663
C9H18O9,6472167,269.0878
C13H18O6,4479467,269.10308
C14H22O5,4488691,269.13947
C15H26O4,3080700,269.17588
C16H30O3,4318724,269.21222
C17H34O2,4704781,269.24862
C11H13N1O7,6202061,270.06192
C14H25N1O4,851175,270.17103
C14H8O6,932783,271.02481
C11H12O8,2743220,271.04595
C15H12O5,10924984,271.06121
C12H16O7,5562301,271.08232
C16H16O4,1157824,271.0977
C9H20O9,1023938,271.10348
C13H20O6,2163653,271.11867
C14H24O5,4364238,271.15509
C15H28O4,7855063,271.19146
C16H32O3,5363679,271.22784
C11H15N1O7,17478822,272.07757
C14H10O6,3871108,273.04047
C15H14O5,6555021,273.07687
C12H18O7,1409682,273.09797
C13H22O6,2109338,273.13437
C14H26O5,3198371,273.17074
C15H30O4,2728875,273.2071
C13H8O7,13219659,275.01971
C14H12O6,14714707,275.0561
C15H16O5,3073883,275.09249
C12H20O7,1051872,275.1136
C13H24O6,1713512,275.15006
C18H28O2,2073972,275.20164
C13H10O7,3196178,277.03535
C14H14O6,8069402,277.07176
C15H18O5,1130530,277.10816
C16H22O4,1378603,277.14453
C18H30O2,12007739,277.21732
C12H8O8,2355402,279.01464
C13H12O7,13855442,279.05102
C14H16O6,2810586,279.08741
C15H20O5,1934562,279.12377
C18H32O2,10060538,279.23297
C12H10O8,1926786,281.03028
C16H10O5,3086470,281.04558
C13H14O7,3612810,281.06669
C10H18O9,1502863,281.08775
C14H18O6,2276498,281.10306
C15H22O5,2784922,281.13943
C16H26O4,1041058,281.17587
C18H34O2,11232433,281.24863
C12H12O8,2235954,283.04595
C16H12O5,1753653,283.0612
C13H16O7,4518458,283.08234
C14H20O6,32345666,283.11873
C15H24O5,5903945,283.15512
C16H28O4,3049041,283.19149
C17H32O3,1253976,283.22787
C18H36O2,17706592,283.26424
C15H10O6,20135892,285.04046
C12H14O8,1608153,285.06166
C16H14O5,936156,285.07675
C13H18O7,3295200,285.09802
C8H14N8O4,1273826,285.10646
C14H22O6,6660072,285.13437
C15H26O5,4234224,285.17075
C16H30O4,6782967,285.20713
C17H34O3,1173503,285.24348
C11H13N1O8,20078758,286.05683
C14H8O7,1082731,287.0197
C11H12O9,1247343,287.04085
C15H12O6,23023986,287.0561
C12H16O8,1452406,287.07722
C13H20O7,1339006,287.11367
C14H24O6,3724677,287.15001
C15H28O5,9867660,287.18639
C16H32O4,8733076,287.22279
C11H15N1O8,2770495,288.07248
C14H10O7,3805951,289.03537
C15H14O6,239416064,289.07176
C12H18O8,894474,289.09298
C13H22O7,1366289,289.12928
C14H26O6,1704729,289.16563
C18H26O3,2499868,289.18091
C11H17N1O8,970702,290.08817
C13H8O8,4106370,291.01463
C14H12O7,8084617,291.05103
C15H16O6,39441552,291.08743
C13H24O7,1000603,291.14482
C18H28O3,8490149,291.19655
C8H15N5O7,840016,292.08997
C13H10O8,2661891,293.03029
C17H10O5,6432262,293.04557
C10H14O10,952326,293.05145
C14H14O7,14960137,293.06667
C15H18O6,1702928,293.10312
C18H30O3,56686116,293.21221
C12H8O9,1188723,295.00958
C13H12O8,8990586,295.04594
C17H12O5,1256829,295.06121
C18H8N4O1,1450365,295.06258
C10H16O10,1397630,295.06706
C14H16O7,20756352,295.08232
C15H20O6,3099527,295.11873
C8H20N6O6,926859,295.13724
C16H24O5,2204046,295.15513
C17H28O4,856724,295.19148
C18H32O3,27695004,295.22786
C12H10O9,1281762,297.02522
C16H10O6,2205412,297.04049
C13H14O8,6775016,297.06162
C14H18O7,19601646,297.09798
C15H22O6,11577589,297.13437
C16H26O5,3384572,297.17078
C18H34O3,120076552,297.24351
C12H13N1O8,989082,298.05687
C15H8O7,1074756,299.01976
C12H12O9,1592391,299.04081
C16H12O6,1833034,299.05616
C13H16O8,15055438,299.07725
C10H20O10,908113,299.09831
C14H20O7,91863640,299.11365
C15H24O6,4363867,299.15001
C16H28O5,2869857,299.18639
C17H32O4,3201639,299.22285
C18H36O3,31849070,299.2592
C15H10O7,57342880,301.03537
C16H14O6,2068903,301.07175
C13H18O8,1368491,301.09291
C17H18O5,1002670,301.10809
C14H22O7,2701233,301.12927
C15H26O6,5295032,301.16569
C16H30O5,4987838,301.20206
C17H34O4,4129732,301.2384
C11H13N1O9,905806,302.05186
C14H8O8,1097969,303.01462
C11H12O10,1214196,303.03585
C15H12O7,51592440,303.05102
C12H16O9,1413114,303.07212
C16H16O6,1926909,303.08742
C17H20O5,860419,303.12386
C14H24O7,2076422,303.14492
C15H28O6,1976588,303.1813
C16H32O5,3861779,303.21768
C14H7N7O2,1126814,304.05895
C15H15N1O6,856226,304.08271
C14H10O8,3345983,305.0303
C15H14O7,777207360,305.06667
C12H18O9,1420360,305.08784
C16H18O6,1808970,305.10302
C17H22O5,920912,305.13941
C18H26O4,3975766,305.17584
C13H9N1O8,1069793,306.02555
C13H8O9,1103999,307.00965
C14H12O8,6805381,307.04596
C11H16O10,1068424,307.06715
C15H16O7,27254666,307.08231
C16H20O6,1766801,307.11875
C18H28O4,18780060,307.19147
C10H15N1O10,9975847,308.06221
C11H19N1O9,1127213,308.0987
C13H10O9,2167999,309.02516
C17H10O6,2530497,309.04049
C10H14O11,2100418,309.04635
C14H14O8,8214725,309.0616
C15H18O7,2600650,309.09803
C16H22O6,4005072,309.13435
C9H22N6O6,1107923,309.15293
C18H30O4,94879960,309.20716
