m/z,intensity,formula
727.1153059102389,4011181.2214168455,C33H28O19
725.2816732050765,4913494.838781404,C38H46O14
725.266546137759,3242592.721266173,C34H46O17
725.2454053523982,5558197.327204075,C37H42O15
725.2301767953467,3163845.277912651,C33H42O18
725.0998898055464,3160559.9333315627,C33H26O19
723.2868073716577,3631457.9546588566,C35H48O16
723.2656430752705,4097975.6149989367,C38H44O14
723.2504691929236,5471983.427178093,C34H44O17
723.2294722386816,5122437.222672911,C37H40O15
723.2143962659792,4784162.421594269,C33H40O18
723.193245814782,4502599.433930874,C36H36O16
723.1569673368709,4343431.20552945,C35H32O17
721.3072863990849,3927716.5551466127,C36H50O15
721.2344405434696,8286132.737750175,C34H42O17
721.1982086052247,5350577.029346797,C33H38O18
721.1770697481423,4323101.0780264465,C36H34O16
721.1619975577262,3425185.881218104,C32H34O19
721.1411726488728,3885249.972353037,C35H30O17
721.1046876918391,3930765.069647504,C34H26O18
719.3282691725713,3119539.435652034,C37H52O14
719.2550011459375,11150150.848072752,C35H44O16
719.2188389964231,9655727.885887576,C34H40O17
719.1617709000998,3053111.1588702523,C36H32O16
719.1253407911407,3638059.0554155484,C35H28O17
717.3125987661572,5148650.548214362,C37H50O14
717.2760717823401,9817168.908705648,C36H46O15
717.2398000658072,10871274.98477291,C35H42O16
717.2033255059728,9038569.38888993,C34H38O17
717.1670673138897,5800148.398707143,C33H34O18
717.1305682446686,4164308.358137709,C32H30O19
717.0942062809598,3112689.7447541836,C31H26O20
715.2969344912904,7044723.0069568,C37H48O14
715.2604608093102,9441933.102889275,C36H44O15
715.2240516349274,10459467.694790384,C35H40O16
715.1512975581156,6690713.698514514,C33H32O18
715.1149381053285,3829918.175186527,C32H28O19
715.0785487569962,3357436.0995960627,C31H24O20
713.3176759909195,3101427.731937793,C38H50O13
713.2811279584577,6473556.223276751,C37H46O14
713.2449208172469,9733964.90966655,C36H42O15
713.2084454793179,8317043.955349395,C35H38O16
713.1721622230535,7281321.746666179,C34H34O17
713.1357881911234,6383948.993679964,C33H30O18
713.0993243300621,4988460.590550614,C32H26O19
711.3022301206045,3264919.979046786,C38H48O13
711.2656575570577,6554029.08807018,C37H44O14
711.2504441977536,3624051.2780933594,C33H44O17
711.2291834559215,7605660.322897317,C36H40O15
711.2139618657202,3605611.202448241,C32H40O18
711.19278388839,7179773.339551507,C35H36O16
709.3078099650559,3187138.1167558013,C35H50O15
709.2864725584953,3597390.371884754,C38H46O13
709.2709959638476,5130946.956518934,C34H46O16
709.2498537182179,5544836.32332084,C37H42O14
709.2345217055727,7002671.3183703665,C33H42O17
709.1771436525399,5479932.454979692,C35H34O16
709.1407194413692,6321290.555629094,C34H30O17
709.10448788304,5193224.573838649,C33H26O18
709.0683152224527,3054325.2689739997,C32H22O19
707.2917961173825,5248808.182368359,C35H48O15
707.2708507833692,3052952.8892307663,C38H44O13
707.2550992579129,8707236.991530381,C34H44O16
707.2341942211194,4242405.512271417,C37H40O14
707.1978506175757,5022906.604286299,C36H36O15
707.1825145109007,5295425.156796019,C32H36O18
707.1461153933077,3676598.2893686113,C31H32O19
707.1250188751836,4863754.7972567445,C34H28O17
707.0889275153971,3192555.795386669,C33H24O18
705.2759859529291,9381704.569423346,C35H46O15
705.239765600691,11842727.393649159,C34H42O16
705.2185828628777,3298390.839583948,C37H38O14
705.2034563279072,9117666.935283639,C33H38O17
705.1823293872732,3301413.7928839144,C36H34O15
705.1671639378362,5523846.534665031,C32H34O18
705.1460836325543,3514784.737668408,C35H30O16
705.130823031216,4629393.210748487,C31H30O19
705.1096751978381,3226810.8559217444,C34H26O17
703.2967707757518,7585626.020270774,C36H48O14
703.26056360456,11865921.974469949,C35H44O15
703.2243815821886,11697215.733528234,C34H40O16
703.1880740988832,7722785.788395733,C33H36O17
703.1516806355655,5490176.848217845,C32H32O18
703.1155844500172,4713561.303714529,C31H28O19
701.3180426214467,4145610.4082544004,C37H50O13
701.281656528361,8500125.357043711,C36H46O14
701.2454094909206,11833867.570210205,C35H42O15
701.2092103352297,9491699.680894012,C34H38O16
699.3025437527701,4942859.525380393,C37H48O13
699.2661328037838,8903216.558778396,C36H44O14
699.2297463962531,10119585.369893277,C35H40O15
699.1933011112415,9259945.670365917,C34H36O16
699.1568531099151,7202376.671162615,C33H32O17
699.1206155972112,6445010.991230352,C32H28O18
699.0840527304772,4541117.886440365,C31H24O19
697.2869128454291,5433356.338139629,C37H46O13
697.2715818731319,3498227.508406062,C33H46O16
697.2504593060795,7546156.7706984645,C36H42O14
697.2350699294732,4954755.016940272,C32H42O17
697.2138672273795,8553326.052871315,C35H38O15
697.1987100921971,3912445.9043284985,C31H38O18
697.1773289015565,7813458.262814959,C34H34O16
697.1406486147658,7902237.643574888,C33H30O17
695.2918475060927,3404827.141845011,C34H48O15
695.2705761761468,4222915.430674769,C37H44O13
695.2555171878083,6411689.309124031,C33H44O16
695.2343348352296,7135452.963764788,C36H40O14
695.2190520346791,6791396.25907549,C32H40O17
695.1978388314793,7581660.945369916,C35H36O15
695.1826746370655,5082089.772459625,C31H36O18
695.1613824017992,7012003.600493891,C34H32O16
695.1250467528375,7014867.483509013,C33H28O17
695.0888788628799,5077497.07606774,C32H24O18
693.3125844876733,3430395.9175124327,C35H50O14
693.2761942862044,7254009.627721814,C34H46O15
693.2551081198909,4676015.284692262,C37H42O13
693.2398657620163,10311209.943633547,C33H42O16
693.2189617217485,5158118.114613539,C36H38O14
693.2036151834917,8232058.575925555,C32H38O17
693.182649176301,6002218.71548161,C35H34O15
693.1464429182497,5562820.564381765,C34H30O16
691.2974466474184,5866158.684551317,C35H48O14
691.2610478117454,10782042.01097463,C34H44O15
691.2246421995209,11629191.092535013,C33H40O16
691.1307877349803,3714895.958621004,C34H28O16
689.3181887238918,3613443.6686711055,C36H50O13
689.2816239652009,9847672.34646717,C35H46O14
689.2450958443031,13097807.697053261,C34H42O15
689.2084538683948,11759885.03569939,C33H38O16
689.1874027889983,3354861.822234167,C36H34O14
689.1720806363304,9773187.782759413,C32H34O17
689.1510347913153,3528263.5978171756,C35H30O15
687.2654680211284,12570779.620263647,C35H44O14
687.2290801659643,13855099.999018826,C34H40O15
687.1928345426434,10944382.583166879,C33H36O16
687.1565736349587,8779982.335762559,C32H32O17
687.1204123086911,6104618.5096004475,C31H28O18
687.0841051156724,3519935.2878375184,C30H24O19
685.2868509718345,6938906.266460271,C36H46O13
685.2506240219818,9622283.933864562,C35H42O14
685.2142861977886,11019649.93318062,C34H38O15
685.1778514522003,9415450.049446998,C33H34O16
685.1413820844215,7890006.318518212,C32H30O17
685.1047577036351,6301904.174567634,C31H26O18
685.0682297328527,3103818.639838521,C30H22O19
683.3074368877362,3103075.1716810907,C37H48O12
683.2710226712754,6624883.040987515,C36H44O13
683.2555914052633,4001974.4629648607,C32H44O16
683.2344512328215,8930016.27314598,C35H40O14
683.2190183979033,3608052.283373343,C31H40O17
683.1979204116755,9704705.199075252,C34H36O15
683.1826392394745,4009224.9983771085,C30H36O18
683.1613915657186,8463055.257461049,C33H32O16
681.2915313667028,3415639.170123518,C37H46O12
681.2761359244552,4902214.658460463,C33H46O15
681.2552128614237,6134051.510996933,C36H42O13
681.2400627366685,8609235.479856102,C32H42O16
681.2190063627176,6436264.945030097,C35H38O14
681.2037817619403,6744742.670895579,C31H38O17
681.167505053681,4382384.648187569,C30H34O18
681.1464237072328,6888642.497644855,C33H30O16
681.1100573799444,7031160.1883173315,C32H26O17
681.073691729529,4075516.020747026,C31H22O18
679.2610479682965,9232398.032915961,C33H44O15
679.2398559817713,4801670.91683938,C36H40O13
679.2244979513059,10461223.345614359,C32H40O16
679.2032382064813,6237410.563239741,C35H36O14
679.1879586010471,7969972.360429994,C31H36O17
679.1666854969828,6464181.534174811,C34H32O15
679.15132721161,6117805.772696804,C30H32O18
679.1304035619916,7003711.407459165,C33H28O16
679.1149070338932,4354439.534116521,C29H28O19
677.2812961538898,8963210.141199373,C34H46O14
677.245024482976,14036901.471160088,C33H42O15
677.2242013879043,3483049.5865924438,C36H38O13
677.2088339951378,12483893.429439727,C32H38O16
677.1878902598182,4246945.914375257,C35H34O14
677.1724853930774,8446462.58536472,C31H34O17
677.1514547337197,4449359.669715201,C34H30O15
677.1362259197637,5850387.3416599585,C30H30O18
677.115185938377,4959143.992381531,C33H26O16
677.0787947977304,3590562.9053309085,C32H22O17
675.3025778208553,5789695.7069377005,C35H48O13
675.2660558704072,10770438.3915915,C34H44O14
675.2295036982199,15171968.646872751,C33H40O15
675.1929434536864,12416432.859455353,C32H36O16
675.1564148640225,9698696.41177934,C31H32O17
675.1352145810779,3351765.448820941,C34H28O15
675.1199139193558,7902698.942133503,C30H28O18
675.0984114032136,3336931.498838204,C46H16N2O5
673.2864546082151,8068964.938930602,C35H46O13
673.2501949452698,13671562.218030008,C34H42O14
673.2139535150095,14178545.85168935,C33H38O15
673.1776223893253,11136448.824439485,C32H34O16
673.1412753312969,9223817.491604313,C31H30O17
673.1049958577808,7645774.506981837,C30H26O18
671.3073129749467,4287584.229763494,C36H48O12
671.270810917973,9896916.3102129,C35H44O13
671.2343807579501,13853638.268792013,C34H40O14
671.2191175510108,3252054.775877373,C30H40O17
671.1978834789142,12592382.842665782,C33H36O15
671.161443155934,12121816.302160144,C32H32O16
671.125133505345,9904056.58366419,C31H28O17
671.088965537582,6890035.947773955,C30H24O18
669.2920123984276,4180102.9044044153,C36H46O12
669.2403696709147,4679528.93889555,C31H42O16
669.2192859322168,10254637.216374123,C34H38O14
669.1829163803344,10413821.439261222,C33H34O15
669.1464008752952,11906956.970803196,C32H30O16
669.1098964381259,7988451.837595229,C31H26O17
669.0735543832064,4822373.162224223,C30H22O18
667.2757564490946,4476483.871946655,C36H44O12
667.2393450500251,8207132.064130016,C35H40O13
667.2240705242975,9347711.135645807,C31H40O16
667.2030745551349,9343140.461662613,C34H36O14
667.187835707298,6668516.793173654,C30H36O17
667.166863320191,8449017.305897677,C33H32O15
667.1516431749292,3885324.386150503,C29H32O18
667.1306239140671,8660379.836778162,C32H28O16
667.1155172765376,3302573.2147463523,C28H28O19
667.0942135380596,6842468.158583222,C31H24O17
665.2816901856922,6066585.815143988,C33H46O14
665.2605241703351,3095913.6806445885,C36H42O12
665.2451893674375,12053850.702236384,C32H42O15
665.2240477473998,5136888.662370406,C35H38O13
665.20859877566,11478138.877824793,C31H38O16
665.1872987869592,6518383.423922517,C34H34O14
665.1720695581869,8318652.113779836,C30H34O17
665.1509494257317,6330283.793135459,C33H30O15
665.1356535554672,5177163.281542864,C29H30O18
665.0781616541916,5497582.665771882,C31H22O17
663.3025812186938,4376539.156155693,C34H48O13
663.2662163524321,10599934.992600873,C33H44O14
663.229828027263,14770464.855164738,C32H40O15
663.2086265500764,3340409.9060872286,C35H36O13
663.1933866685213,11970579.307410987,C31H36O16
663.1721482692167,4077914.1898586047,C34H32O14
663.1570364641619,7912958.90577585,C30H32O17
663.1204269488477,5422856.71721002,C29H28O18
663.099418471812,4293636.936288025,C32H24O16
663.0838063480526,3780608.1140104337,C28H24O19
661.2863359634973,8334096.646161812,C34H46O13
661.2500492386752,15201339.734272385,C33H42O14
661.2139079914647,15917352.474327233,C32H38O15
661.1776254144021,12030605.594832601,C31H34O16
661.1413417017295,8759775.788793635,C30H30O17
661.1049988463735,6872185.887086812,C29H26O18
661.0838012642781,3620105.4060364426,C32H22O16
659.3071630580356,4387671.151629202,C35H48O12
659.2705670507079,11775292.075131217,C34H44O13
659.2341454582247,16145336.01138042,C33H40O14
659.1978192424232,15433359.63214406,C32H36O15
659.1615395375949,12459486.625079982,C31H32O16
659.1253415814032,8828588.42307051,C30H28O17
659.0890340546504,7083016.6106355395,C29H24O18
657.2919768112496,4989457.46278113,C35H46O12
657.2553648293033,10577770.552900204,C34H42O13
657.2187367583379,14770863.69410442,C33H38O14
657.1822698108938,13305220.224818336,C32H34O15
657.1457120086865,11545755.018327357,C31H30O16
657.1093218821893,9944866.670381898,C30H26O17
657.0730261311294,6260506.227383843,C29H22O18
655.2398669831605,10126484.584582249,C34H40O13
655.2245052815939,5325867.188682963,C30H40O16
655.2033895882774,11420454.431295557,C33H36O14
655.1880395309679,4806869.723510288,C29H36O17
655.1667575052193,11931481.32879,C32H32O15
655.15121569473,3417802.6631642077,C28H32O18
655.1302055137603,10757651.066106318,C31H28O16
655.0937921726079,9920495.247185024,C30H24O17
653.2606973090494,5116669.255874533,C35H42O12
653.2091047892616,9732633.589777965,C30H38O16
653.1879721545276,8599157.153176764,C33H34O14
653.1726938851937,6814775.983427542,C29H34O17
653.1514674243764,11181607.180518992,C32H30O15
653.1360791444347,4276821.416140562,C28H30O18
653.1149495957106,8818024.142003456,C31H26O16
653.0782981369474,7314294.015714564,C30H22O17
651.302344127552,3665447.2242461243,C33H48O13
651.2660196116776,7328333.312628356,C32H44O14
651.2296708327686,12816765.635584164,C31H40O15
651.1932906235189,12367621.04913213,C30H36O16
651.1722535112181,7037404.925290354,C33H32O14
651.1569987188832,7718450.308917289,C29H32O17
651.1358510441072,7477586.457030939,C32H28O15
651.1204568670302,5075239.655038422,C28H28O18
651.0993751640077,7676707.526140991,C31H24O16
651.0627635879491,4363315.943662008,C30H20O17
649.2868515328768,6363468.354311547,C33H46O13
649.2505108808241,14003690.94522016,C32H42O14
649.2141878680262,16142753.778236203,C31H38O15
649.1929714319702,4267496.743995996,C34H34O13
649.1778377719729,12509370.243776204,C30H34O16
649.1565879162091,4929359.385989364,C33H30O14
649.1413576249057,7406956.865725967,C29H30O17
649.1202611543773,5232985.0078659905,C32H26O15
649.1048936451732,5989795.786393915,C28H26O18
649.083793279483,5064903.993463014,C31H22O16
647.3074341724125,4358368.340338556,C34H48O12
647.2711344610209,10365312.546910709,C33H44O13
647.2349011862264,16333372.752522739,C32H40O14
647.1985745532737,16295038.515974434,C31H36O15
647.1621605511594,11739289.571325852,C30H32O16
647.1408910983233,3746885.635377659,C33H28O14
647.1257158595256,9342475.233650673,C29H28O17
647.0891693487483,6318720.241809158,C28H24O18
645.2917240833709,6143102.251413428,C34H46O12
645.255465797389,13220618.845899444,C33H42O13
645.2192121320519,17409958.41537369,C32H38O14
645.1828985255023,14439765.399017565,C31H34O15
645.1465114656821,11433891.080085598,C30H30O16
645.1100274880032,10319257.87789811,C29H26O17
645.0734442042462,6018680.235205675,C28H22O18
643.2399988420019,14273072.096167734,C33H40O13
643.2036765595906,14595757.549246067,C32H36O14
643.1671715899588,13173274.292970553,C31H32O15
643.1307826944103,11670350.838582747,C30H28O16
643.0940979117271,10444301.911881281,C29H24O17
643.0575538772187,4450184.412862083,C28H20O18
641.2605832178907,7889949.251640756,C34H42O12
641.2242076204196,12084810.596168028,C33H38O13
641.2088985277547,6011374.502536987,C29H38O16
641.1877366572613,13084893.509829935,C32H34O14
641.1723010211081,4872029.607377118,C28H34O17
641.1511321998815,12658518.060502185,C31H30O15
641.1359488595134,3682607.641380327,C27H30O18
641.1146201744153,11987853.729335232,C30H26O16
641.078116416935,9641231.182521762,C29H22O17
639.2449158777698,7145385.263610502,C34H40O12
639.2296750748783,9929625.892397026,C30H40O15
639.2084302593864,9979157.91145339,C33H36O13
639.1929983553644,10805759.514765931,C29H36O16
639.1717984063986,11287475.412452333,C32H32O14
639.1565689569253,6457605.400248812,C28H32O17
639.135267072347,10631307.060059302,C31H28O15
639.1200986240507,4666744.103693696,C27H28O18
639.0988552419989,10573121.105805071,C30H24O16
639.0625485649142,6210533.520463207,C29H20O17
637.2864928013228,4407397.631957655,C32H46O13
637.249985078986,12015572.235298578,C31H42O14
637.2288632925894,6467652.442185204,C34H38O12
637.2134572259026,17030254.587424356,C30H38O15
637.192379894608,8173140.62687838,C33H34O13
637.1770713753174,13469104.8982545,C29H34O16
637.1559250856594,22834893.7636301,C32H30O14
637.1406832362345,8897785.07438705,C28H30O17
637.1197194991698,7808834.44054959,C31H26O15
637.104561528338,6238451.047721503,C27H26O18
637.083448203303,7136272.727187315,C30H22O16
635.2707079702724,10691577.873495853,C32H44O13
635.2344083841921,18226786.045391627,C31H40O14
635.213277162444,4276580.107281873,C34H36O12
635.1981517389873,18750456.495425757,C30H36O15
635.1772230895664,4818478.995246408,C33H32O13
635.1619017005887,12189296.117405742,C29H32O16
635.1408734647943,6090307.207690373,C32H28O14
635.1256418568491,8760503.531938145,C28H28O17
635.1045549709559,5828088.74838294,C31H24O15
633.2918459829117,6225456.264576802,C33H46O12
633.2555141021411,14697320.035844667,C32H42O13
633.2192718598006,19882739.44927849,C31H38O14
633.182879224826,16880705.408776358,C30H34O15
633.1464100895398,12467880.758882733,C29H30O16
633.1098950995336,10842214.653877212,C28H26O17
633.0887666870212,4167487.2530084914,C31H22O15
633.0732913749343,5422271.753583451,C27H22O18
631.2763671300306,9414352.972809052,C33H44O12
631.2398234865606,17133575.25290702,C32H40O13
631.2032556737157,19919635.56268556,C31H36O14
631.16674917389,16508310.19198504,C30H32O15
631.1302041060607,13295286.734136866,C29H28O16
631.0938149333341,11756352.372977206,C28H24O17
631.0574446659887,4997148.204018268,C27H20O18
629.2965991703342,3859824.2858082466,C34H46O11
629.2600445645126,11822559.704743717,C33H42O12
629.2237045900506,18648310.27934043,C32H38O13
629.1873619567646,19969934.4512667,C31H34O14
629.1722536732863,3301688.3987496225,C27H34O17
629.1511995620979,15713017.492448915,C30H30O15
629.11494915135,12751370.367825659,C29H26O16
629.0787587058727,9748218.68227012,C28H22O17
627.281170896871,5338735.452832906,C34H44O11
627.2661453533887,3706704.5958236484,C30H44O14
627.2450082020652,10332895.243943341,C33H40O12
627.2297732702157,5099049.387925038,C29H40O15
627.2087583584976,14057248.827998076,C32H36O13
627.1723344832307,14648078.829464696,C31H32O14
627.1569901843959,5117292.092518043,C27H32O17
627.1358916399709,13550561.475632522,C30H28O15
627.1205949016808,3168617.7829042803,C26H28O18
627.0994157610426,12316088.70370593,C29H24O16
627.0628626051672,7575076.36791449,C28H20O17
