,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
0,0,699.410213923173,699.4110129477782,699.4107201491954,2247583.9932956314,9475.67010654096,176824.95993896897,4.099924289031535,-1,0.41863610945011903,0.3777036022930294,0.0,0.22662216137581764,2.0,2.0,0.375,N2 S1 O12,de-protonated,0.0,,C32 H64 O12 S1 N2,32.0,64.0,12.0,1.0,2.0,,,,
1,1,699.3742911907751,699.3750902634429,699.3749860884337,2682408.990859981,9726.596685714347,221042.44988734066,4.893109137433179,-1,0.14895443962669044,0.8840307139226461,0.0,0.5304184283535877,12.0,1.435897435897436,0.28205128205128205,O11,de-protonated,0.0,,C39 H56 O11,39.0,56.0,11.0,,,,,,
2,2,699.3378746716824,699.3386737930634,699.3386005790494,3002952.519039537,11078.536965020154,221053.9498946193,5.477827751195955,-1,0.10469036597797912,0.9409274013195872,0.0,0.5645564407917523,13.0,1.368421052631579,0.3157894736842105,O12,de-protonated,0.0,,C38 H52 O12,38.0,52.0,12.0,,,,,,
3,3,699.3017286277396,699.3025277974626,699.3022150696652,3191206.5041835015,12071.091114951805,221065.6998850995,5.821230751262258,-1,0.4471997810257155,0.32921558557993835,0.0,0.197529351347963,14.0,1.2972972972972974,0.35135135135135137,O13,de-protonated,0.0,,C37 H48 O13,37.0,48.0,13.0,,,,,,
4,4,699.2650207529828,699.2658199717893,699.2658295602808,2712583.8450771826,11286.995325983991,221076.9498739187,4.948152516498042,-1,-0.013712226721608154,0.9989559611567195,0.0,0.5993735766940317,15.0,1.2222222222222223,0.3888888888888889,O14,de-protonated,0.0,,C36 H44 O14,36.0,44.0,14.0,,,,,,
5,5,699.2289495376864,699.2297488047153,699.2294440508966,2505447.92648784,8429.68814425003,221088.69993185523,4.5703060883829965,-1,0.4358423708767892,0.3480791434362131,0.0,0.20884748606172784,16.0,1.1428571428571428,0.42857142857142855,O15,de-protonated,0.0,,C35 H40 O15,35.0,40.0,15.0,,,,,,
6,6,699.1925286107969,699.1933279265061,699.1930585415123,2440261.544129011,9874.966783256805,176879.95993752632,4.45139652453832,-1,0.38527984578866964,0.4383797323396388,0.0,0.26302783940378327,17.0,1.0588235294117647,0.47058823529411764,O16,de-protonated,0.0,,C34 H36 O16,34.0,36.0,16.0,,,,,,
7,7,699.1714256462549,699.1722249901657,699.1719291734129,2940219.830733224,12649.855476952824,176885.3599383865,5.363394086749819,-1,0.42309586589375137,0.369908122866084,0.0,0.22194487371965038,22.0,0.8648648648648649,0.3783783783783784,O14,de-protonated,0.0,,C37 H32 O14,37.0,32.0,14.0,,,,,,
8,9,699.1350074136566,699.1358068062284,699.1355436640285,3584817.7542704362,11963.859736142864,176894.5599032119,6.53923565318417,-1,0.37638223695038775,0.4551992995459231,0.0,0.27311957972755385,23.0,0.7777777777777778,0.4166666666666667,O15,de-protonated,0.0,,C36 H28 O15,36.0,28.0,15.0,,,,,,
9,10,699.1194739966157,699.12027340994,699.1202875227436,2203616.394446385,11960.696932904717,147415.29994459337,4.019720911987504,-1,-0.02018651716291451,0.9977386968559516,0.0,0.5986432181135709,19.0,0.875,0.5625,O18,de-protonated,0.0,,C32 H28 O18,32.0,28.0,18.0,,,,,,
10,11,699.0983363119421,699.0991357535031,699.0991581546442,2935033.433679883,13269.063069449905,176903.55992525976,5.353933334531,-1,-0.03204286666331513,0.9943120971433197,0.0,0.5965872582859918,24.0,0.6857142857142857,0.45714285714285713,O16,de-protonated,0.0,,C35 H24 O16,35.0,24.0,16.0,,,,,,
11,12,699.0619608749702,699.0627603651154,699.06277264526,2102617.862556492,8007.300051117622,221141.1998668568,3.8354847120114024,-1,-0.017566583509572263,0.9982871083640247,0.0,0.5989722650184148,25.0,0.5882352941176471,0.5,O17,de-protonated,0.0,,C34 H20 O17,34.0,20.0,17.0,,,,,,
