,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
0,0,697.2071380397059,697.2078803761924,697.207920759604,3782138.662247727,14449.621716030162,177383.7599249705,3.5859762892817884,-1,-0.057921619073689395,0.9815342101881172,0.0,0.5889205261128703,26.0,0.8095238095238095,0.23809523809523808,O10,de-protonated,0.0,,C42 H34 O10,42.0,34.0,10.0,,,,,,
1,2,695.2618816788975,695.2626269922739,695.2625397904502,6902051.817593447,24289.76096527775,222350.19992311025,6.544073704208158,-1,0.12542287080436665,0.4581580577614967,0.6566013193347574,0.537535362390801,29.0,0.8333333333333334,0.0625,S1 O3,de-protonated,0.0,,C48 H40 O3 S1,48.0,40.0,3.0,1.0,,,,,
2,3,695.191031993086,695.1917774143275,695.1916192465035,7917767.931466825,27743.97959674475,177898.15993574503,7.507109231527173,-1,0.22751687393567738,0.7500785254266151,0.0,0.4500471152559691,18.0,1.0588235294117647,0.35294117647058826,N2 S1 O12,de-protonated,0.0,,C34 H36 O12 S1 N2,34.0,36.0,12.0,1.0,2.0,,,,
3,4,695.1605079773436,695.1612534450442,695.1612453482195,4244231.165088054,15897.749804568755,177905.95990666523,4.024102150499024,-1,0.011647405154195552,0.9992466059060318,0.0,0.5995479635436191,37.0,0.5106382978723404,0.10638297872340426,N2 O5,de-protonated,0.0,,C47 H24 O5 N2,47.0,24.0,5.0,,2.0,,,,
4,5,689.4147033827866,689.4154574661145,689.4151368243812,6967673.459148972,26310.76637691315,224235.69991728434,6.606291848939534,-1,0.4650923894524907,0.3006743802672938,0.0,0.18040462816037628,0.0,2.0625,0.40625,S1 O13,de-protonated,0.0,,C32 H66 O13 S1,32.0,66.0,13.0,1.0,,,,,
5,6,689.1134166026956,689.1141711306675,689.1142951547855,3606093.3143771566,14277.650341715349,179467.15992694927,3.4190616148930255,-1,-0.17997612134955718,0.8353100999685896,0.0,0.5011860599811537,40.0,0.3829787234042553,0.10638297872340426,N2 O5,de-protonated,0.0,,C47 H18 O5 N2,47.0,18.0,5.0,,2.0,,,,
6,7,687.1347029335197,687.1354603640681,687.1355436640285,3809976.2616389478,14649.669831691708,179983.9598802306,3.6123700786909043,-1,-0.12122784395816329,0.9215986067289741,0.0,0.5529591640373844,22.0,0.8,0.42857142857142855,O15,de-protonated,0.0,,C35 H28 O15,35.0,28.0,15.0,,,,,,
7,8,685.2554401632552,685.2562003221435,685.2560527226174,3693714.7830106663,11104.780915061772,225596.69987051704,3.5021385554843785,-1,0.21539324688628533,0.7727916215662328,0.0,0.4636749729397397,6.0,1.6428571428571428,0.6785714285714286,O19,de-protonated,0.0,,C28 H46 O19,28.0,46.0,19.0,,,,,,
8,12,683.2187353342297,683.2194984188453,683.2197158101769,9433861.180078575,39215.58889588984,181015.55991735752,8.944569601801096,-1,-0.31818656073913876,0.4654397460303319,0.9948340726053304,0.6771974766603313,26.0,0.85,0.225,13C2 O9,de-protonated,1.0,14.0,C40 H34 O9 13C2,40.0,34.0,9.0,,,2.0,,,
9,13,682.2159339814086,682.2166984946294,682.2163609751046,44481742.26981082,150871.4516313644,226602.1999378526,42.174676110549555,-1,0.4947397103215272,0.3610735192265395,0.9948340726053304,0.6145777405780559,26.0,0.8292682926829268,0.21951219512195122,13C1 O9,de-protonated,1.0,14.0,C41 H34 O9 13C1,41.0,34.0,9.0,,,1.0,,,
10,14,681.2122613875355,681.2130273227274,681.2130061400323,95080452.0635958,322259.4654940853,226935.69987975905,90.14906039209512,-1,0.031095552852531506,0.6070519385306351,0.9948340726053304,0.7621647921605132,26.0,0.8095238095238095,0.21428571428571427,O9,de-protonated,0.0,,C42 H34 O9,42.0,34.0,9.0,,,,,,
11,15,681.2034653041266,681.2042312517457,681.2040657456989,5673922.4284015475,25760.665891949586,226938.9499577135,5.379641814449005,-1,0.2429610377830108,0.48026851820993205,0.7066228410256152,0.5708102473362053,27.0,0.8,0.225,13C2 O9,de-protonated,1.0,19.0,C40 H32 O9 13C2,40.0,32.0,9.0,,,2.0,,,
12,16,681.1454100777163,681.1461761073413,681.1461083480782,3503286.755579984,13851.89902956188,181566.55992388233,3.321587165870519,-1,0.09947830903011007,0.9465065284137527,0.0,0.5679039170482516,19.0,0.9090909090909091,0.48484848484848486,O16,de-protonated,0.0,,C33 H30 O16,33.0,30.0,16.0,,,,,,
13,17,681.1092425819475,681.1100086626473,681.109722838694,3864035.758656848,13748.669027991094,181576.1599299936,3.663625754864734,-1,0.4196445061535591,0.3759339819964697,0.0,0.22556038919788182,20.0,0.8125,0.53125,O17,de-protonated,0.0,,C32 H26 O17,32.0,26.0,17.0,,,,,,
14,19,679.1964818772137,679.1972506444959,679.1973560755544,45315865.14702344,164346.9972297848,227609.1999125852,42.96553681851057,-1,-0.1552289000499925,0.5317031354170307,0.7066228410256152,0.6016710176604645,27.0,0.7619047619047619,0.21428571428571427,O9,de-protonated,0.0,,C42 H32 O9,42.0,32.0,9.0,,,,,,
15,20,679.1294147124543,679.1301835734168,679.1304582836002,3403135.2084006383,13823.776630431648,182105.55993861347,3.2266300250589284,-1,-0.404502816817099,0.4029212889216764,0.0,0.24175277335300582,20.0,0.8484848484848485,0.48484848484848486,O16,de-protonated,0.0,,C33 H28 O16,33.0,28.0,16.0,,,,,,
16,21,679.0929331240844,679.0937020359904,679.0935597098792,3985129.8360999334,12983.01660190788,227643.949897285,3.7784392319108893,-1,0.20958247830503338,0.7834666753241227,0.0,0.4700800051944736,39.0,0.35555555555555557,0.13333333333333333,N2 O6,de-protonated,0.0,,C45 H16 O6 N2,45.0,16.0,6.0,,2.0,,,,
17,22,677.1810963793466,677.1818679463951,677.1817060110764,3660270.473299845,11350.249918838945,228286.9498712914,3.4704288503824703,-1,0.2391312660660891,0.72783014963581,0.0,0.436698089781486,28.0,0.7142857142857143,0.21428571428571427,O9,de-protonated,0.0,,C42 H30 O9,42.0,30.0,9.0,,,,,,
18,23,677.114353382288,677.115125041512,677.1148082191222,3679085.2182308063,13801.335935672567,228309.44990934676,3.4882677598557716,-1,0.4679005479301879,0.29632960783955087,0.0,0.17779776470373052,21.0,0.7878787878787878,0.48484848484848486,O16,de-protonated,0.0,,C33 H26 O16,33.0,26.0,16.0,,,,,,
19,25,675.1346177065565,675.1353920840592,675.1355436640285,3354356.740081085,13114.015575858059,183182.9599574767,3.1803814745847245,-1,-0.22451783320543298,0.755749070977249,0.0,0.45344944258634934,21.0,0.8235294117647058,0.4411764705882353,O15,de-protonated,0.0,,C34 H28 O15,34.0,28.0,15.0,,,,,,
20,26,675.0977007760545,675.0984752039548,675.0986450903075,3356838.146011407,10848.3192022998,228991.4498979275,3.1827341812475023,-1,-0.2516467096865687,0.7034127164674842,0.0,0.4220476298804905,40.0,0.34782608695652173,0.10869565217391304,N2 O5,de-protonated,0.0,,C46 H16 O5 N2,46.0,16.0,5.0,,2.0,,,,
21,27,673.2491835601713,673.2499604979736,673.2501794958029,3760390.2644243534,14984.16378744567,183695.9599354469,3.565355882181712,-1,-0.3252844721750247,0.5555296667890174,0.0,0.33331780007341044,14.0,1.2352941176470589,0.4117647058823529,O14,de-protonated,0.0,,C34 H42 O14,34.0,42.0,14.0,,,,,,
22,28,673.1558109213782,673.1565879852521,673.1562791089349,3706189.0573425405,13889.948602594097,229651.69984731424,3.513965845802051,-1,0.45884785873436834,0.31046807276172383,0.0,0.1862808436570343,21.0,0.8571428571428571,0.4,O14,de-protonated,0.0,,C35 H30 O14,35.0,30.0,14.0,,,,,,
23,29,673.1192316963272,673.1200088095717,673.1198935995506,3414525.8035869105,14217.328746629391,183731.5599132394,3.2374298417516627,-1,0.17115824718771608,0.8498029254598786,0.0,0.5098817552759272,22.0,0.7647058823529411,0.4411764705882353,O15,de-protonated,0.0,,C34 H26 O15,34.0,26.0,15.0,,,,,,
24,30,673.0830645870017,673.0838417490503,673.0835080901662,3713131.4670287697,11654.527010665199,183741.35991557778,3.520548184195351,-1,0.4957169208032166,0.25533064674873857,0.0,0.15319838804924313,23.0,0.6666666666666666,0.48484848484848486,O16,de-protonated,0.0,,C33 H22 O16,33.0,22.0,16.0,,,,,,
25,31,671.1606656186785,671.1614453600994,671.1617584125562,3504998.417053152,13585.290939153338,184267.55993139607,3.3232100512288287,-1,-0.46643369186919026,0.2985944958360733,0.0,0.17915669750164395,17.0,1.0,0.5,O16,de-protonated,0.0,,C32 H32 O16,32.0,32.0,16.0,,,,,,
26,32,671.1394826595089,671.1402624291909,671.1401159801201,3675488.3882032065,11871.066994501836,230341.69986128746,3.484857481082998,-1,0.21820938331478923,0.7675668988427427,0.0,0.4605401393056456,40.0,0.4166666666666667,0.0625,N2 O3,de-protonated,0.0,,C48 H20 O3 N2,48.0,20.0,3.0,,2.0,,,,
27,33,669.1455029015743,669.1462853158034,669.1461083480782,3623837.1305490253,12014.039962308743,184822.55994686994,3.4358851398231987,-1,0.2644679884054191,0.6780230580281607,0.0,0.40681383481689637,18.0,0.9375,0.5,O16,de-protonated,0.0,,C32 H30 O16,32.0,30.0,16.0,,,,,,
28,34,667.129694533313,667.130479589431,667.1304582836002,4168665.660613678,14588.730055039709,231726.44988652127,3.9524558859034027,-1,0.031936528421483125,0.9943496798479481,0.0,0.5966098079087688,19.0,0.875,0.5,O16,de-protonated,0.0,,C32 H28 O16,32.0,28.0,16.0,,,,,,
29,35,667.0933997756991,667.0941848790932,667.094072774216,3754393.6351017794,13159.331410156827,185391.1599129791,3.5596702708155803,-1,0.1680495776601066,0.8547958943339692,0.0,0.5128775366003815,20.0,0.7741935483870968,0.5483870967741935,O17,de-protonated,0.0,,C31 H24 O17,31.0,24.0,17.0,,,,,,
30,36,665.2136834180745,665.2144709558289,665.2145818328048,6224024.329827298,18780.578817697853,232393.94996125027,5.901212426042928,-1,-0.16667851085020702,0.8569780938837583,0.0,0.514186856330255,4.0,1.75,0.875,O21,de-protonated,0.0,,C24 H42 O21,24.0,42.0,21.0,,,,,,
31,37,665.150016917566,665.150804537289,665.1506806641697,3909599.8227309776,12198.884616441013,232416.19994943094,3.706826617658072,-1,0.1862331692130673,0.8247440484517145,0.0,0.49484642907102866,37.0,0.4782608695652174,0.08695652173913043,N2 O4,de-protonated,0.0,,C46 H22 O4 N2,46.0,22.0,4.0,,2.0,,,,
32,38,665.113647681455,665.114435347988,665.1142951547855,3608761.899582104,11811.543075539825,185942.95989982938,3.4215917926906796,-1,0.2107806184447403,0.7812775391821025,0.0,0.4687665235092615,38.0,0.4,0.1111111111111111,N2 O5,de-protonated,0.0,,C45 H18 O5 N2,45.0,18.0,5.0,,2.0,,,,
33,39,663.2652590357723,663.2660490677007,663.2658295602808,3492816.170077873,11865.36858833994,186461.15991565623,3.3116596421336837,-1,0.33094938719831546,0.5441740742855944,0.0,0.32650444457135663,12.0,1.3333333333333333,0.42424242424242425,O14,de-protonated,0.0,,C33 H44 O14,33.0,44.0,14.0,,,,,,
34,40,663.1349880451877,663.1357782428167,663.1355436640285,3831984.715727324,10340.467524843038,233122.44990846267,3.6332370541173846,-1,0.35374184122128993,0.4989821548340436,0.0,0.29938929290042615,20.0,0.8484848484848485,0.45454545454545453,O15,de-protonated,0.0,,C33 H28 O15,33.0,28.0,15.0,,,,,,
35,41,663.0983690942701,663.0991593384533,663.0991581546442,4084568.781451973,14468.980264349937,233134.94986643828,3.8727207303189046,-1,0.0017852670894224628,0.9999822936090901,0.0,0.599989376165454,21.0,0.75,0.5,O16,de-protonated,0.0,,C32 H24 O16,32.0,24.0,16.0,,,,,,
36,42,661.3825637850828,661.3833561988392,661.3833236310885,10795826.897513915,35301.829272741656,233739.69987337998,10.235896336668938,-1,0.049241868629878234,0.49330971428719794,0.6809597224898847,0.5683697175682727,18.0,1.255813953488372,0.046511627906976744,N2 S1 O2,de-protonated,0.0,,C43 H54 O2 S1 N2,43.0,54.0,2.0,1.0,2.0,,,,
37,43,661.2855397548092,661.2863322905612,661.2865650051872,3501528.145462827,11125.77810904029,187019.35990773514,3.3199197668813802,-1,-0.3519119218863544,0.5025746386936997,0.0,0.3015447832162198,12.0,1.3529411764705883,0.38235294117647056,O13,de-protonated,0.0,,C34 H46 O13,34.0,46.0,13.0,,,,,,
38,44,661.1194091331738,661.1202018776434,661.1198935995506,4237895.567779637,14491.977688304156,187066.35992743704,4.018095151878588,-1,0.4662968030262706,0.29880637466338833,0.0,0.17928382479803298,21.0,0.7878787878787878,0.45454545454545453,O15,de-protonated,0.0,,C33 H26 O15,33.0,26.0,15.0,,,,,,
39,45,659.2698581227186,659.270653176284,659.2709149407092,3396436.671582806,13249.402685178535,187591.1599003072,3.220278910954785,-1,-0.3970513779265286,0.4165152497653342,0.0,0.2499091498592005,13.0,1.2941176470588236,0.38235294117647056,O13,de-protonated,0.0,,C34 H44 O13,34.0,44.0,13.0,,,,,,
40,46,659.2334077829698,659.2342028817733,659.2345294313249,3359770.139342919,10427.903089143889,187601.5599312772,3.185514105387271,-1,-0.49534655269817046,0.25585185151017603,0.0,0.1535111109061056,14.0,1.2121212121212122,0.42424242424242425,O14,de-protonated,0.0,,C33 H40 O14,33.0,40.0,14.0,,,,,,
41,47,659.1604136866475,659.1612088760118,659.1612453482195,3545782.366677056,13050.237938643524,187622.35994301835,3.3618787224212454,-1,-0.05533123798868427,0.9831352411199065,0.0,0.5898811446719439,34.0,0.5454545454545454,0.11363636363636363,N2 O5,de-protonated,0.0,,C44 H24 O5 N2,44.0,24.0,5.0,,2.0,,,,
42,48,659.1396334690882,659.1404286842261,659.1406290444569,3682991.1401700824,13829.263251248034,187628.15990208436,3.4919710993451036,-1,-0.3039719021458941,0.5985008592569143,0.0,0.35910051555414857,21.0,0.8235294117647058,0.4117647058823529,O14,de-protonated,0.0,,C34 H28 O14,34.0,28.0,14.0,,,,,,
43,49,659.1242006151792,659.1249958494561,659.1248598388352,3467414.232570084,12944.048789097995,187632.5599336932,3.2875751878766275,-1,0.20635031274103421,0.7893400485188465,0.0,0.4736040291113079,35.0,0.46511627906976744,0.13953488372093023,N2 O6,de-protonated,0.0,,C43 H20 O6 N2,43.0,20.0,6.0,,2.0,,,,
44,50,659.1033613035913,659.1041565637092,659.1042435350726,3613569.4821981844,10593.557875746268,234547.94987843977,3.4261500278083163,-1,-0.13195388160454363,0.907798926488064,0.0,0.5446793558928384,22.0,0.7272727272727273,0.45454545454545453,O15,de-protonated,0.0,,C33 H24 O15,33.0,24.0,15.0,,,,,,
45,51,659.0673737334714,659.0681690382062,659.0678580256882,3437679.0298968307,10635.882438180879,187648.7599373485,3.259382215258351,-1,0.47189756588387716,0.2902096352008142,0.0,0.17412578112048852,23.0,0.625,0.5,O16,de-protonated,0.0,,C32 H20 O16,32.0,20.0,16.0,,,,,,
46,52,657.2910842412292,657.2918817355967,657.2916503856154,3668043.9315696056,14148.826502023787,235194.69989484924,3.4777991346397155,-1,0.35197462365669124,0.5024514254789699,0.0,0.30147085528738193,13.0,1.3142857142857143,0.34285714285714286,O12,de-protonated,0.0,,C35 H46 O12,35.0,46.0,12.0,,,,,,
47,53,657.2544075683179,657.2552051076368,657.2552648762312,3618606.5110983993,13999.473372943745,188166.35992111912,3.4309258088723196,-1,-0.09093665365208371,0.9550978073689466,0.0,0.5730586844213679,14.0,1.2352941176470589,0.38235294117647056,O13,de-protonated,0.0,,C34 H42 O13,34.0,42.0,13.0,,,,,,
48,54,657.1447030815707,657.1455007552817,657.1455952837415,4239299.543424849,18249.34367933843,235247.4499030213,4.019426309676876,-1,-0.14384705690575797,0.8914058810016536,0.0,0.5348435286009922,35.0,0.5,0.11363636363636363,N2 O5,de-protonated,0.0,,C44 H22 O5 N2,44.0,22.0,5.0,,2.0,,,,
49,55,657.1237310389172,657.124528738309,657.1244659156421,4062502.213361516,12113.059984880101,235254.94992718258,3.85179865499997,-1,0.09560238609821284,0.9504908374458709,0.0,0.5702945024675226,40.0,0.3829787234042553,0.06382978723404255,N2 O3,de-protonated,0.0,,C47 H18 O3 N2,47.0,18.0,3.0,,2.0,,,,
50,57,655.1657834254603,655.1665835072606,655.1668437929845,3553173.9683071338,12336.27383364793,235957.69988717212,3.368886955210236,-1,-0.3972815877226821,0.41609232393967077,0.0,0.24965539436380246,17.0,1.0,0.46875,O15,de-protonated,0.0,,C32 H32 O15,32.0,32.0,15.0,,,,,,
51,58,655.144688666612,655.1454887739168,655.1457144248851,3788599.38925005,13439.427775462904,188772.35992882415,3.592101927686617,-1,-0.3444286719178701,0.5173365120810016,0.0,0.31040190724860095,22.0,0.8,0.37142857142857144,O13,de-protonated,0.0,,C35 H28 O13,35.0,28.0,13.0,,,,,,
52,59,655.1293150673098,655.1301151931999,655.1299452192635,3915086.822994229,12595.863715478157,188776.75994180675,3.7120290321120173,-1,0.2594507206529968,0.6879972592482331,0.0,0.41279835554893984,36.0,0.45454545454545453,0.11363636363636363,N2 O5,de-protonated,0.0,,C44 H20 O5 N2,44.0,20.0,5.0,,2.0,,,,
53,60,655.0927685899064,655.0935687599704,655.0935597098792,3504490.474906703,11273.697121188721,235983.949860271,3.3227284537369983,-1,0.013814959801762058,0.9989402668346326,0.0,0.5993641601007795,37.0,0.37209302325581395,0.13953488372093023,N2 O6,de-protonated,0.0,,C43 H16 O6 N2,43.0,16.0,6.0,,2.0,,,,
54,61,653.1505145797775,653.1513170824219,653.1511937285065,3981926.509514759,12648.88631364562,189348.75992346302,3.775402047342295,-1,0.18885966454050337,0.8202423735105173,0.0,0.49214542410631035,18.0,0.9375,0.46875,O15,de-protonated,0.0,,C32 H30 O15,32.0,30.0,15.0,,,,,,
55,62,653.1140675876779,653.1148701338119,653.1148082191222,3987999.7157721124,11933.779657304438,236698.94990442757,3.7811602639450266,-1,0.09479909032228452,0.9512988270088092,0.0,0.5707792962052854,19.0,0.8387096774193549,0.5161290322580645,O16,de-protonated,0.0,,C31 H26 O16,31.0,26.0,16.0,,,,,,
