,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
0,0,699.264062399694,699.2659992072776,699.2658295602808,2543483.593746048,9340.650344376883,221077.19987709136,3.70047113116617,-1,0.24260730260014304,0.7210905401746065,0.0,0.4326543241047639,15.0,1.2222222222222223,0.3888888888888889,O14,de-protonated,0.0,,C36 H44 O14,36.0,44.0,14.0,,,,,,
1,2,696.2643842478327,696.266313783435,696.2661639129021,2682075.2820789693,7842.960941423878,222029.6998795845,3.902105827358655,-1,0.21524890995832316,0.7730585279042621,0.0,0.46383511674255723,16.0,1.1944444444444444,0.3611111111111111,N1 O13,de-protonated,0.0,,C36 H43 O13 N1,36.0,43.0,13.0,,1.0,,,,
2,3,695.3970631067353,695.3989905385465,695.398698913517,3005664.3669257797,12860.386819403193,222306.94989995583,4.372890097318314,-1,0.4193637836047684,0.3764262105425835,0.0,0.2258557263255501,12.0,1.4634146341463414,0.17073170731707318,S1 O7,de-protonated,0.0,,C41 H60 O7 S1,41.0,60.0,7.0,1.0,,,,,
3,5,693.2076749904024,693.2095971092274,693.2094964523765,2388932.1379891094,8942.648099503891,223008.6999530158,3.475616840100765,-1,0.14520408539329308,0.8894654708871468,0.0,0.533679282532288,5.0,1.68,0.88,O22,de-protonated,0.0,,C25 H42 O22,25.0,42.0,22.0,,,,,,
4,6,686.2859509217775,686.2878562213878,686.2876872041946,2533855.837551376,7261.509875375695,225257.94986001254,3.6864638720103056,-1,0.24627746682218585,0.7139382271198614,0.0,0.42836293627191685,5.0,1.75,0.6428571428571429,N1 O18,de-protonated,0.0,,C28 H49 O18 N1,28.0,49.0,18.0,,1.0,,,,
5,7,685.2998651431005,685.3017680438504,685.301821146472,4208488.135306097,12217.623164477336,225582.44992797755,6.12285799241938,-1,-0.07748793294486842,0.9671925665087836,0.0,0.5803155399052702,18.0,1.15,0.25,O10,de-protonated,0.0,,C40 H46 O10,40.0,46.0,10.0,,,,,,
6,8,685.1756440575666,685.1775466560739,685.1774084770343,3105538.5782369236,10168.288383802736,225622.9499203105,4.518195393021267,-1,0.2016689953372485,0.7977607200944656,0.0,0.47865643205667935,17.0,1.0303030303030303,0.48484848484848486,O16,de-protonated,0.0,,C33 H34 O16,33.0,34.0,16.0,,,,,,
7,10,679.1920309969246,679.1939190237839,679.1938463878985,5370912.586598063,16015.549083932723,227610.69991178904,7.814049606449927,-1,0.10694426313948642,0.9384372305973638,0.0,0.5630623383584182,5.0,1.6666666666666667,0.9166666666666666,O22,de-protonated,0.0,,C24 H40 O22,24.0,40.0,22.0,,,,,,
8,13,673.2484297647912,673.250303292405,673.2501794958029,2852024.69311652,9810.604998718578,229620.44990198797,4.149362342340502,-1,0.18387904805837008,0.8287458950821279,0.0,0.4972475370492767,14.0,1.2352941176470589,0.4117647058823529,O14,de-protonated,0.0,,C34 H42 O14,34.0,42.0,14.0,,,,,,
9,14,673.1757649409835,673.177638291179,673.1774084770343,2830710.851185827,10113.097607964328,229644.94989020663,4.118353195297958,-1,0.34138719132799433,0.523366438332197,0.0,0.31401986299931817,16.0,1.0625,0.5,O16,de-protonated,0.0,,C32 H34 O16,32.0,34.0,16.0,,,,,,
