,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
0,2,697.0124975946153,697.0140542099308,697.0141083747677,7054275.531215556,24637.31658792567,221791.44990058057,6.089119604952636,-1,-0.07770981427776635,0.9670075523000652,0.0,0.5802045313800391,22.0,0.6,0.6,S1 O18,de-protonated,0.0,,C30 H18 O18 S1,30.0,18.0,18.0,1.0,,,,,
1,4,696.2649359737798,696.2664913498376,696.2661639129021,4556565.313113188,14685.697544114093,177623.75990617726,3.933142539804326,-1,0.47027552451444227,0.2926840749414414,0.0,0.17561044496486483,16.0,1.1944444444444444,0.3611111111111111,N1 O13,de-protonated,0.0,,C36 H43 O13 N1,36.0,43.0,13.0,,1.0,,,,
2,6,695.223587218633,695.2251408673224,695.2251465168545,3967423.5898717074,12731.515904351812,222362.44991568034,3.424606347645253,-1,-0.008126190690229667,0.9996332063122918,0.0,0.5997799237873751,4.0,1.76,0.88,O22,de-protonated,0.0,,C25 H44 O22,25.0,44.0,22.0,,,,,,
3,12,690.2880055054353,690.2895509498168,690.2894828147923,5934022.6526247505,19106.497511176047,223951.94992221956,5.122138128917707,-1,0.09870500149747201,0.9473127516779718,0.0,0.568387651006783,21.0,1.0714285714285714,0.14285714285714285,N1 S1 O6,de-protonated,0.0,,C42 H45 O6 S1 N1,42.0,45.0,6.0,1.0,1.0,,,,
4,14,681.2081539993844,681.2096842760579,681.2094964523765,7651181.236891096,24647.897446291594,226937.44991907387,6.604357522532348,-1,0.2757208794798203,0.655508202027778,0.0,0.3933049212166668,4.0,1.75,0.9166666666666666,O22,de-protonated,0.0,,C24 H42 O22,24.0,42.0,22.0,,,,,,
5,15,680.1955764806246,680.1971050598274,680.1972012229708,3744156.107805889,11059.299122983986,227274.94989897028,3.231886004332958,-1,-0.141375388126728,0.8949039446026843,0.9920662632281565,0.9337688720528732,5.0,1.7391304347826086,0.9565217391304348,13C1 O22,de-protonated,1.0,16.0,C23 H40 O22 13C1,23.0,40.0,22.0,,,1.0,,,
6,16,679.1925090474741,679.1940359439656,679.1938463878985,15036973.301583448,46540.400404959284,227610.94990311735,12.979636041242589,-1,0.27908978871451195,0.7718203079874952,0.9920662632281565,0.8599186900837598,5.0,1.6666666666666667,0.9166666666666666,O22,de-protonated,0.0,,C24 H40 O22,24.0,40.0,22.0,,,,,,
7,17,679.0020142574971,679.0035408342881,679.003543690718,11356984.117258156,36472.98142729169,227674.44991828076,9.803137733353616,-1,-0.004206796730046295,0.49995084369781173,0.7536525541217873,0.6014315278674021,23.0,0.5333333333333333,0.5666666666666667,S1 O17,de-protonated,0.0,,C30 H16 O17 S1,30.0,16.0,17.0,1.0,,,,,
8,22,673.1585477942954,673.1600645435728,673.1597887965906,11448298.048012605,35202.39213592326,183720.7599029435,9.881958222219097,-1,0.4096307990858859,0.19684180139677834,0.6339253677789722,0.3716752279496559,43.0,0.41509433962264153,0.018867924528301886,O1,de-protonated,0.0,,C53 H22 O1,53.0,22.0,1.0,,,,,,
9,23,671.179099709527,671.1806131207163,671.1803858572111,5341019.882478271,17000.683359012633,230328.44990958966,4.610269152789418,-1,0.3386027213481825,0.5289007617912078,0.0,0.3173404570747247,16.0,1.0909090909090908,0.3939393939393939,S1 O13,de-protonated,0.0,,C33 H36 O13 S1,33.0,36.0,13.0,1.0,,,,,
10,24,671.1694903278028,671.1710037227758,671.1711413270267,7186968.500303344,21615.495933943406,230331.6998846246,6.203657711089326,-1,-0.20502110774440038,0.7917415204938213,0.0,0.47504491229629275,30.0,0.6511627906976745,0.18604651162790697,O8,de-protonated,0.0,,C43 H28 O8,43.0,28.0,8.0,,,,,,
11,29,665.2132136753773,665.2147169981168,665.2145818328048,10740753.051525297,30843.45924394315,232393.6999520203,9.271218523942153,-1,0.20319054290502875,0.7950352142138039,0.0,0.47702112852828227,4.0,1.75,0.875,O21,de-protonated,0.0,,C24 H42 O21,24.0,42.0,21.0,,,,,,
12,34,658.1666809861943,658.1681723394264,658.1680906278054,36921932.324067175,110616.73642660816,234882.19989364158,31.870326155019313,-1,0.12415007978684485,0.3671738432234513,0.8583030581014223,0.5636255291746397,16.0,1.096774193548387,0.41935483870967744,13C1 S1 O13,de-protonated,1.0,36.0,C31 H34 O13 S1 13C1,31.0,34.0,13.0,1.0,,1.0,,,
13,35,658.158572823874,658.1600641632997,658.1599847649261,7560568.220415762,22089.03743124116,234884.6999070813,6.526142049853075,-1,0.12063688987204034,0.9223307027266087,0.0,0.5533984216359652,16.0,1.064516129032258,0.41935483870967744,N1 S1 O13,de-protonated,0.0,,C31 H33 O13 S1 N1,31.0,33.0,13.0,1.0,1.0,,,,
14,36,657.1633112453945,657.164800889538,657.1647357927332,165733072.95435047,487777.34756698774,235240.4499092278,143.05771007238872,-1,0.09905705725643654,0.3729762027704724,0.8583030581014223,0.5671069449028523,16.0,1.0625,0.40625,S1 O13,de-protonated,0.0,,C32 H34 O13 S1,32.0,34.0,13.0,1.0,,,,,
15,37,657.1590445529947,657.1605341898679,657.1608514250264,4180969.0408869144,9815.154762795148,313656.2665116313,3.608934814341972,-1,-0.48273593565850953,0.27399833696331855,0.0,0.1643990021779911,39.0,0.4583333333333333,0.041666666666666664,N2 O2,de-protonated,0.0,,C48 H22 O2 N2,48.0,22.0,2.0,,2.0,,,,
16,38,657.0201275379638,657.0216169381193,657.0216956786404,18179206.103504077,54979.51560914067,235291.69990204912,15.69195302869703,-1,-0.11984462856205043,0.4616537384605919,0.7927089175546819,0.594075810098228,16.0,0.75,0.9166666666666666,O22,de-protonated,0.0,,C24 H18 O22,24.0,18.0,22.0,,,,,,
17,44,651.197735469753,651.1992149281109,651.1989317683268,12076843.840307113,34464.868759139536,237395.44991570228,10.424507274851788,-1,0.4348283915648167,0.3497905532747115,0.0,0.20987433196482688,4.0,1.7391304347826086,0.9130434782608695,O21,de-protonated,0.0,,C23 H40 O21,23.0,40.0,21.0,,,,,,
18,49,641.1591110729154,641.1605732970341,641.1605766429769,7283285.339734819,21155.698450685395,241112.69991146994,6.286796617795485,-1,-0.005218572240288694,0.9998487142435826,0.0,0.5999092285461495,30.0,0.6190476190476191,0.16666666666666666,O7,de-protonated,0.0,,C42 H26 O7,42.0,26.0,7.0,,,,,,
19,54,635.2387230630684,635.2401750678143,635.2404026581394,6945731.505209099,16288.449493729586,324479.59988651716,5.995426417915679,-1,-0.3582743227397532,0.4901156794683778,0.0,0.2940694076810267,3.0,1.8333333333333333,0.7916666666666666,O19,de-protonated,0.0,,C24 H44 O19,24.0,44.0,19.0,,,,,,
20,55,635.2026917748691,635.2041437172946,635.204017148755,6242706.916817667,16272.98420191506,243373.69989911135,5.388588651940244,-1,0.19925651630381194,0.8020590004592779,0.0,0.4812354002755667,4.0,1.7391304347826086,0.8695652173913043,O20,de-protonated,0.0,,C23 H40 O20,23.0,40.0,20.0,,,,,,
21,56,631.2078104008689,631.209255424252,631.2091025291834,5772398.771880908,16619.690668928943,244913.94994485893,4.982627397232936,-1,0.24222570299214335,0.7218320904543553,0.0,0.43309925427261314,5.0,1.6666666666666667,0.7916666666666666,O19,de-protonated,0.0,,C24 H40 O19,24.0,40.0,19.0,,,,,,
22,60,629.149805772797,629.1512472244735,629.1511937285065,4231277.88463098,11748.925964617878,196571.95994827303,3.6523604737720485,-1,0.08502879360024282,0.9606298773347605,0.0,0.5763779264008563,16.0,1.0,0.5,O15,de-protonated,0.0,,C30 H30 O15,30.0,30.0,15.0,,,,,,
23,62,621.2232462292895,621.2246738779545,621.2247525936614,5433009.569164643,14595.066739792157,248849.94989013523,4.689672941623127,-1,-0.12671051265822106,0.914664888996936,0.0,0.5487989333981615,3.0,1.826086956521739,0.8260869565217391,O19,de-protonated,0.0,,C23 H42 O19,23.0,42.0,19.0,,,,,,
24,63,621.186793757316,621.1882213423341,621.188367084277,5452882.0787306335,14768.190551760079,248864.9498990692,4.706826522747429,-1,-0.2346179526601627,0.736527431223604,0.0,0.44191645873416235,4.0,1.7272727272727273,0.9090909090909091,O20,de-protonated,0.0,,C22 H38 O20,22.0,38.0,20.0,,,,,,
25,64,620.1452720690687,620.1466978349097,620.1468366238927,8420781.747247104,22849.121519592874,199426.1599290205,7.268662387695847,-1,-0.22380019506997195,0.7571010968862659,0.0,0.45426065813175953,10.0,1.2916666666666667,0.75,N1 O18,de-protonated,0.0,,C24 H31 O18 N1,24.0,31.0,18.0,,1.0,,,,
26,66,617.3564780231382,617.3578989116721,617.3576219468974,4413274.316444273,13026.095455906387,250408.9499032185,3.809456413118607,-1,0.4486293921683416,0.32688155287795134,0.0,0.1961289317267708,0.0,2.0714285714285716,0.42857142857142855,S1 O12,de-protonated,0.0,,C28 H58 O12 S1,28.0,58.0,12.0,1.0,,,,,
27,67,617.2588084999372,617.2602292174925,617.2603502566594,4283468.425096527,13849.342474534604,200358.75992337143,3.6974103788594777,-1,-0.19609094755530757,0.8076549677757007,0.0,0.4845929806654204,12.0,1.3125,0.375,O12,de-protonated,0.0,,C32 H42 O12,32.0,42.0,12.0,,,,,,
28,68,615.1530362866312,615.1544533151402,615.1541711086834,6180753.0097979605,18126.67159394706,251305.9499265876,5.335111190198385,-1,0.4587572841299947,0.3106114588421175,0.0,0.1863668753052705,15.0,1.0666666666666667,0.4,S1 O12,de-protonated,0.0,,C30 H32 O12 S1,30.0,32.0,12.0,1.0,,,,,
29,69,615.1165614294553,615.1179783940192,615.1177855992992,4746838.617996515,15705.970479065885,201056.55992188372,4.097382922241521,-1,0.31342732171293863,0.5794016379670607,0.0,0.3476409827802364,16.0,0.9655172413793104,0.4482758620689655,S1 O13,de-protonated,0.0,,C29 H28 O13 S1,29.0,28.0,13.0,1.0,,,,,
30,75,607.2384912554762,607.239894372294,607.2396148117532,3962738.025558472,12000.650040226657,203664.95991562604,3.4205618555647073,-1,0.46037928678641443,0.30804945778440884,0.0,0.1848296746706453,11.0,1.3333333333333333,0.43333333333333335,O13,de-protonated,0.0,,C30 H40 O13,30.0,40.0,13.0,,,,,,
31,76,605.2591838684922,605.2605834947473,605.2603502566594,3846806.1694693333,10691.825341581985,255413.94989012516,3.320491630829768,-1,0.3853516717976855,0.4382449479203023,0.0,0.2629469687521814,11.0,1.3548387096774193,0.3870967741935484,O12,de-protonated,0.0,,C31 H42 O12,31.0,42.0,12.0,,,,,,
32,85,601.1280387056643,601.1294310317594,601.129276514021,8178081.124398555,20096.844345517562,257169.19990152688,7.059167718231659,-1,0.2570457711650445,0.6927614253474713,0.0,0.4156568552084828,29.0,0.5641025641025641,0.1794871794871795,O7,de-protonated,0.0,,C39 H22 O7,39.0,22.0,7.0,,,,,,
33,87,599.139462578362,599.1408513833161,599.1406290444569,4386236.507491913,10114.454158994904,258022.69990074725,3.786117878659858,-1,0.3710962809473673,0.4653017471807625,0.0,0.27918104830845747,16.0,0.9655172413793104,0.4827586206896552,O14,de-protonated,0.0,,C29 H28 O14,29.0,28.0,14.0,,,,,,
34,89,595.1535492590135,595.1549309922364,595.1550973393555,10558038.010814946,25316.798560840707,259750.44995850362,9.113502294743858,-1,-0.2795021329589785,0.3239535319131077,0.6912167449139237,0.47085881711343414,30.0,0.5853658536585366,0.12195121951219512,O5,de-protonated,0.0,,C41 H24 O5,41.0,24.0,5.0,,,,,,
35,90,593.2590463338255,593.260424699338,593.2603502566594,5073106.272487419,13724.747155985899,260579.94993438444,4.379011101156747,-1,0.12548062345967242,0.9162423532985442,0.0,0.5497454119791265,10.0,1.4,0.4,O12,de-protonated,0.0,,C30 H42 O12,30.0,42.0,12.0,,,,,,
36,91,593.1586989751771,593.1600771621928,593.1599251943543,4090657.452612101,10117.21021052511,260623.94989344006,3.530979528886342,-1,0.2562004479138514,0.6944332212888613,0.0,0.41665993277331675,17.0,1.0,0.3,N2 S1 O9,de-protonated,0.0,,C30 H30 O9 S1 N2,30.0,30.0,9.0,1.0,2.0,,,,
37,94,591.2795443267207,591.2809191689388,591.2810857015658,3713518.098385694,10570.590435480419,209161.95995387458,3.2054398437043146,-1,-0.28164714040445854,0.6435889294511447,0.0,0.38615335767068676,10.0,1.4193548387096775,0.3548387096774194,O11,de-protonated,0.0,,C31 H44 O11,31.0,44.0,11.0,,,,,,
38,95,591.2431863307925,591.2445611082546,591.2447001921814,4977436.053713209,12813.119061336047,261468.69992002254,4.296430345390922,-1,-0.23523919411328034,0.7353340186788554,0.0,0.44120041120731324,11.0,1.3333333333333333,0.4,O12,de-protonated,0.0,,C30 H40 O12,30.0,40.0,12.0,,,,,,
39,96,591.2126754047379,591.2140501278566,591.2141879096117,4437818.656700709,11119.572858302043,261482.19991276087,3.8306426317153646,-1,-0.23304879679910695,0.7395363092736831,0.0,0.4437217855642098,3.0,1.8181818181818181,0.8181818181818182,O18,de-protonated,0.0,,C22 H40 O18,22.0,40.0,18.0,,,,,,
40,97,591.1764469900178,591.1778216486084,591.1778024002274,6160273.822110363,14482.042976027979,261498.19990883966,5.317433935788595,-1,0.032559377135368835,0.994127792321152,0.0,0.5964766753926912,4.0,1.7142857142857142,0.9047619047619048,O19,de-protonated,0.0,,C21 H36 O19,21.0,36.0,19.0,,,,,,
41,98,590.192506472965,590.1938793784253,590.1937868173267,4424044.303375302,11169.72037997156,261934.1999234348,3.8187528657843153,-1,0.1568317063338315,0.8722794229093648,0.0,0.5233676537456189,4.0,1.7619047619047619,0.8571428571428571,N1 O18,de-protonated,0.0,,C21 H37 O18 N1,21.0,37.0,18.0,,1.0,,,,
42,99,589.2641091079366,589.2654803581914,589.2654356370878,4043302.0683867782,15633.795807559942,131173.72495562703,3.490103240852156,-1,0.07589296940316427,0.968507965942494,0.0,0.5811047795654963,11.0,1.3548387096774193,0.3548387096774194,O11,de-protonated,0.0,,C31 H42 O11,31.0,42.0,11.0,,,,,,
43,103,589.155162408802,589.1565334647536,589.1562791089349,3962349.7829970513,9068.877936934085,262395.44988529535,3.420226731797318,-1,0.431728944791776,0.3550490453363457,0.0,0.2130294272018074,14.0,1.0714285714285714,0.5,O14,de-protonated,0.0,,C28 H30 O14,28.0,30.0,14.0,,,,,,
44,105,587.2121368987453,587.2135044870353,587.2134000632254,9415000.53267224,22406.779684391928,210610.7599405715,8.126853575601038,-1,0.17782940549207443,0.8388822014605726,0.0,0.5033293208763435,13.0,1.2,0.4,O12,de-protonated,0.0,,C30 H36 O12,30.0,36.0,12.0,,,,,,
45,106,587.139127376607,587.1404948345128,587.1406290444569,4227961.8158305725,9775.021145126899,263296.44986289716,3.6494981047797146,-1,-0.2285822807734183,0.7480563310829832,0.0,0.4488337986497899,15.0,1.0,0.5,O14,de-protonated,0.0,,C28 H28 O14,28.0,28.0,14.0,,,,,,
46,107,587.1027459235553,587.1041133164869,587.1042435350726,3758725.5542771337,8883.91034266676,263312.6999309272,3.244462079898591,-1,-0.2217980658965385,0.7608628791667449,0.0,0.45651772750004693,16.0,0.8888888888888888,0.5555555555555556,O15,de-protonated,0.0,,C27 H24 O15,27.0,24.0,15.0,,,,,,
47,108,585.160178782911,585.1615427043331,585.1613644893631,4473071.027844233,10167.165611969906,264186.44992447365,3.861071823671539,-1,0.3045569663464693,0.597318232906351,0.0,0.3583909397438106,15.0,1.0344827586206897,0.4482758620689655,O13,de-protonated,0.0,,C29 H30 O13,29.0,30.0,13.0,,,,,,
48,110,585.1238566566651,585.1252205131349,585.1249789799789,4291863.526349029,10230.781932168775,264203.19987690635,3.704656874321126,-1,0.4127890017736311,0.3880436073977716,0.0,0.23282616443866294,16.0,0.9285714285714286,0.5,O14,de-protonated,0.0,,C28 H26 O14,28.0,26.0,14.0,,,,,,
49,111,583.1171345256947,583.118494791282,583.1187118299713,6526910.088513027,14664.319169794406,265112.44993355067,5.633907550656657,-1,-0.3722032664016782,0.4631795989857347,0.0,0.2779077593914408,30.0,0.5128205128205128,0.15384615384615385,O6,de-protonated,0.0,,C39 H20 O6,39.0,20.0,6.0,,,,,,
50,112,582.2413805352804,582.2427392322929,582.2425757236324,6335874.947101647,16117.020273278606,265511.19991170586,5.469009565079605,-1,0.2808256684621566,0.6452431288474726,0.9820048035774722,0.7799477987394725,14.0,1.2258064516129032,0.3225806451612903,13C1 O10,de-protonated,1.0,115.0,C31 H38 O10 13C1,31.0,38.0,10.0,,,1.0,,,
51,114,581.2589498005109,581.2603067368099,581.2603502566594,4194472.007110971,9875.49685669961,265959.949914596,3.6205903239681674,-1,-0.07487152622052984,0.9693369186930755,0.0,0.5816021512158452,9.0,1.4482758620689655,0.41379310344827586,O12,de-protonated,0.0,,C29 H42 O12,29.0,42.0,12.0,,,,,,
52,115,581.2378304776216,581.2391873760581,581.23922088856,20005475.515633743,46346.85247727663,212775.55990896779,17.268354862183095,-1,-0.05765698645594309,0.8134720684829819,0.9820048035774722,0.8808851625207781,14.0,1.1875,0.3125,O10,de-protonated,0.0,,C32 H38 O10,32.0,38.0,10.0,,,,,,
53,116,581.2225699983329,581.2239268694103,581.2239647472752,3913225.9241736503,11200.383153890862,212781.15991380266,3.3778239293395926,-1,-0.0651691381999528,0.9766816382204282,0.0,0.5860089829322569,10.0,1.3571428571428572,0.4642857142857143,O13,de-protonated,0.0,,C28 H38 O13,28.0,38.0,13.0,,,,,,
54,118,581.1381077624036,581.1394644820514,581.1394472748775,4514275.771261408,9647.65450649279,266014.94992185495,3.8966389928086547,-1,0.02960937163975356,0.9951412040525538,0.0,0.5970847224315322,30.0,0.55,0.125,O5,de-protonated,0.0,,C40 H22 O5,40.0,22.0,5.0,,,,,,
55,120,579.2799988772106,579.281352263402,579.2810857015658,4863121.275623734,12167.564391735203,266868.199867076,4.197755952347972,-1,0.46015974429235396,0.3083955187158977,0.0,0.18503731122953862,9.0,1.4666666666666666,0.36666666666666664,O11,de-protonated,0.0,,C30 H44 O11,30.0,44.0,11.0,,,,,,
56,121,579.2435936132802,579.2449469341201,579.2447001921814,5581255.45694868,13086.290707145268,266884.94992657,4.817636038282018,-1,0.4259718536668855,0.36492377660596353,0.0,0.21895426596357812,10.0,1.3793103448275863,0.41379310344827586,O12,de-protonated,0.0,,C29 H40 O12,29.0,40.0,12.0,,,,,,
57,122,579.2071929555417,579.2085462110367,579.2083146827972,3676543.449469743,8325.677262351533,266901.69990484463,3.1735240135663947,-1,0.39973224423931486,0.4116016519356863,0.0,0.2469609911614118,11.0,1.2857142857142858,0.4642857142857143,O13,de-protonated,0.0,,C28 H36 O13,28.0,36.0,13.0,,,,,,
58,123,577.2640801971843,577.2654299622376,577.2654356370878,6368933.656642008,14446.918281494205,267800.4499223535,5.497545229087324,-1,-0.009830573288588612,0.9994632542596587,0.0,0.5996779525557951,10.0,1.4,0.36666666666666664,O11,de-protonated,0.0,,C30 H42 O11,30.0,42.0,11.0,,,,,,
59,124,577.2277665585984,577.2291162583789,577.2290501277034,6021633.949687644,13329.60957777683,267816.94989490765,5.19776257315728,-1,0.11456574378758679,0.9296767006880048,0.0,0.5578060204128028,11.0,1.3103448275862069,0.41379310344827586,O12,de-protonated,0.0,,C29 H38 O12,29.0,38.0,12.0,,,,,,
