,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
0,0,699.3007731831755,699.3024829623031,699.3022150696652,2678656.869415068,12348.203960752202,221065.9498896978,3.4569754087245332,-1,0.38308564185074073,0.44250505835446396,0.0,0.26550303501267836,14.0,1.2972972972972974,0.35135135135135137,O13,de-protonated,0.0,,C37 H48 O13,37.0,48.0,13.0,,,,,,
1,1,699.2642619650558,699.2659716727254,699.2658295602808,2755783.573059661,9686.10347247996,221077.19987709136,3.556512277705279,-1,0.20323092957874883,0.7949627190910583,0.0,0.47697763145463495,15.0,1.2222222222222223,0.3888888888888889,O14,de-protonated,0.0,,C36 H44 O14,36.0,44.0,14.0,,,,,,
2,3,696.264606149877,696.2663099825545,696.2661639129021,3335099.202372027,12861.441676791306,222029.94987958446,4.304155586293716,-1,0.20978996243726453,0.7830880341542503,0.0,0.46985282049255017,16.0,1.1944444444444444,0.3611111111111111,N1 O13,de-protonated,0.0,,C36 H43 O13 N1,36.0,43.0,13.0,,1.0,,,,
3,5,695.1908292073086,695.1925309349153,695.192270695126,3080316.085369134,9790.626604699159,222372.94992217308,3.975341925950008,-1,0.374342178843233,0.45908886474043137,0.0,0.27545331884425883,27.0,0.7619047619047619,0.23809523809523808,O10,de-protonated,0.0,,C42 H32 O10,42.0,32.0,10.0,,,,,,
4,7,695.1238638894998,695.12556548579,695.125372903172,2819405.8883309136,9900.316421574691,177915.35991301117,3.6386208828984734,-1,0.27704731488252354,0.6528434883594653,0.0,0.39170609301567916,20.0,0.8484848484848485,0.5151515151515151,O17,de-protonated,0.0,,C33 H28 O17,33.0,28.0,17.0,,,,,,
5,8,691.1287266786474,691.1304204331318,691.1304582836002,2818551.6611122773,9028.956208121126,223679.9498825609,3.6375184488681924,-1,-0.05476602564472739,0.9834751824699152,0.0,0.590085109481949,21.0,0.8235294117647058,0.47058823529411764,O16,de-protonated,0.0,,C34 H28 O16,34.0,28.0,16.0,,,,,,
6,9,689.2436377100873,689.2453277593312,689.2450941153746,2648808.494031641,8708.560101110146,224291.69989996415,3.4184542002528344,-1,0.33898530226366136,0.5281395981809878,0.0,0.31688375890859266,14.0,1.2352941176470589,0.4411764705882353,O15,de-protonated,0.0,,C34 H42 O15,34.0,42.0,15.0,,,,,,
7,10,689.1707736443269,689.1724635502867,689.172323096606,2963407.8569032056,11478.283180456658,224315.44991391405,3.8244644934953924,-1,0.20380052422517425,0.7939394532706696,0.0,0.47636367196240176,16.0,1.0625,0.53125,O17,de-protonated,0.0,,C32 H34 O17,32.0,34.0,17.0,,,,,,
8,11,689.1496128079896,689.1513026723367,689.1511937285065,2729903.900475965,10571.351839760006,224321.94989481758,3.5231129301706257,-1,0.1580840766427615,0.8703702968035961,0.0,0.5222221780821577,21.0,0.8571428571428571,0.42857142857142855,O15,de-protonated,0.0,,C35 H30 O15,35.0,30.0,15.0,,,,,,
9,12,689.1134444865397,689.1151342797608,689.1148082191222,2793088.8493784037,9887.64920883937,224333.69989206045,3.604657086516767,-1,0.4731586590657357,0.2882944658654011,0.0,0.17297667951924064,22.0,0.7647058823529411,0.47058823529411764,O16,de-protonated,0.0,,C34 H26 O16,34.0,26.0,16.0,,,,,,
10,14,687.2642595449629,687.2659457001045,687.2658295602808,2961399.333852396,9065.363212906244,224937.6998778774,3.821872367988843,-1,0.16898821185085935,0.8532948853094193,0.0,0.5119769311856516,14.0,1.2571428571428571,0.4,O14,de-protonated,0.0,,C35 H44 O14,35.0,44.0,14.0,,,,,,
11,15,687.1548951206877,687.1565810605673,687.156673032128,3053124.2495429735,10496.331928286152,224973.4498984938,3.940249149102618,-1,-0.13384365498245787,0.9052692090127756,0.0,0.5431615254076654,17.0,1.0,0.53125,O17,de-protonated,0.0,,C32 H32 O17,32.0,32.0,17.0,,,,,,
12,16,685.3215592757509,685.3232416054307,685.3229505145714,2576838.0060345577,8888.679181910527,225574.94991366676,3.325571752336259,-1,0.4247499066613302,0.3670373836229933,0.0,0.22022243017379597,13.0,1.3513513513513513,0.32432432432432434,O12,de-protonated,0.0,,C37 H50 O12,37.0,50.0,12.0,,,,,,
13,17,685.2849240976935,685.2866063551998,685.2865650051872,2815825.7089939658,10218.280677328701,225586.94989720642,3.634000435961813,-1,0.0603397391362639,0.9799760621487995,0.0,0.5879856372892797,14.0,1.2777777777777777,0.3611111111111111,O13,de-protonated,0.0,,C36 H46 O13,36.0,46.0,13.0,,,,,,
14,18,685.1760114601631,685.1776935030974,685.1774084770343,4458542.200882908,15471.9105234879,225623.1999203105,5.75402953741458,-1,0.41598870540462907,0.38236867545885944,0.0,0.22942120527531565,17.0,1.0303030303030303,0.48484848484848486,O16,de-protonated,0.0,,C33 H34 O16,33.0,34.0,16.0,,,,,,
15,21,683.1603770151486,683.162055085049,683.1617584125562,2987717.3471495705,11267.395299695745,181030.95992279353,3.8558374218237095,-1,0.4342639048066822,0.3507452099217513,0.0,0.21044712595305076,18.0,0.9696969696969697,0.48484848484848486,O16,de-protonated,0.0,,C33 H32 O16,33.0,32.0,16.0,,,,,,
16,22,683.1238006549158,683.1254786526857,683.125372903172,2833725.1976419254,8909.803749400711,226300.69989802077,3.6571008534849625,-1,0.15480249738167257,0.8753492796503323,0.0,0.5252095677901993,19.0,0.875,0.53125,O17,de-protonated,0.0,,C32 H28 O17,32.0,28.0,17.0,,,,,,
17,23,682.2147159272449,682.216392131852,682.2163609751046,10651371.848295188,33648.74888809117,226602.1998924022,13.746266260963045,-1,0.04566989174814108,0.9884794368579353,0.9921741582712057,0.9899573254232434,26.0,0.8292682926829268,0.21951219512195122,13C1 O9,de-protonated,1.0,24.0,C41 H34 O9 13C1,41.0,34.0,9.0,,,1.0,,,
18,24,681.211428871152,681.2131030958974,681.2130061400323,24142903.65678833,78711.92883001118,226935.94988934265,31.157937841791636,-1,0.14232826468794044,0.9410201854842721,0.9921741582712057,0.9614817745990455,26.0,0.8095238095238095,0.21428571428571427,O9,de-protonated,0.0,,C42 H34 O9,42.0,34.0,9.0,,,,,,
19,25,681.2024241044953,681.2040983114667,681.2040657456989,3749397.2024250263,12377.968552274151,181551.35993864792,4.838833250469391,-1,0.04780618532386729,0.8536669085263839,0.9883421706229257,0.9075370133650007,27.0,0.8,0.225,13C2 O9,de-protonated,1.0,29.0,C40 H32 O9 13C2,40.0,32.0,9.0,,,2.0,,,
20,26,681.108070143348,681.109744164075,681.109722838694,3258840.7139061624,10999.863670953608,226970.44991932518,4.2057392036868,-1,0.031309758595107456,0.9945686866335455,0.0,0.5967412119801273,20.0,0.8125,0.53125,O17,de-protonated,0.0,,C32 H26 O17,32.0,26.0,17.0,,,,,,
21,27,680.1992495755928,680.2009218019871,680.2007109106266,14002895.367642513,46839.57223096897,227273.6998789779,18.0716184628207,-1,0.3100428403794271,0.7199503930935066,0.9883421706229257,0.8273071041052742,27.0,0.7804878048780488,0.21951219512195122,13C1 O9,de-protonated,1.0,29.0,C41 H32 O9 13C1,41.0,32.0,9.0,,,1.0,,,
22,28,679.2956243090972,679.2972947506598,679.2971296892368,2843581.6712820088,9534.943047172006,182060.95993029606,3.6698212535405137,-1,0.24298854768565295,0.7203492756846576,0.0,0.4322095654107945,11.0,1.411764705882353,0.4117647058823529,O14,de-protonated,0.0,,C34 H48 O14,34.0,48.0,14.0,,,,,,
23,29,679.1957122192491,679.1973824634201,679.1973560755544,31952835.536187176,113635.91960848498,227609.44989532637,41.237146851040826,-1,0.038851543718940944,0.855088857635118,0.9883421706229257,0.908390182830241,27.0,0.7619047619047619,0.21428571428571427,O9,de-protonated,0.0,,C42 H32 O9,42.0,32.0,9.0,,,,,,
24,30,679.0925741398008,679.094244180197,679.094072774216,3002353.109858047,11442.455720699836,182115.35992597553,3.874725795451863,-1,0.25240388325519647,0.7019228513579245,0.0,0.4211537108147547,21.0,0.75,0.53125,O17,de-protonated,0.0,,C32 H24 O17,32.0,24.0,17.0,,,,,,
25,31,678.2541216200383,678.2557900035001,678.2555992288525,3241357.576090966,10943.662713939844,227925.44989392938,4.183176113137739,-1,0.2812724994322977,0.6443434171668092,0.0,0.3866060503000855,17.0,1.1388888888888888,0.3333333333333333,N1 O12,de-protonated,0.0,,C36 H41 O12 N1,36.0,41.0,12.0,,1.0,,,,
26,34,677.1133750095631,677.1150411376602,677.1148082191222,3403197.9503448117,11001.980858466348,228309.44988085373,4.39204130984227,-1,0.34398677327742283,0.5182115783408391,0.0,0.31092694700450346,21.0,0.7878787878787878,0.48484848484848486,O16,de-protonated,0.0,,C33 H26 O16,33.0,26.0,16.0,,,,,,
27,35,675.3005643606181,675.302226902144,675.3022150696652,3568942.9135936913,11304.854848753079,228922.69990397533,4.605945624580591,-1,0.017521753242169726,0.9982958324305183,0.0,0.598977499458311,12.0,1.3714285714285714,0.37142857142857144,O13,de-protonated,0.0,,C35 H48 O13,35.0,48.0,13.0,,,,,,
28,36,675.2644346651928,675.2660971352068,675.2658295602808,3335358.3310468732,11466.893567563446,228934.94989851696,4.304490008170167,-1,0.3962512454045924,0.4179866308963149,0.0,0.2507919785377889,13.0,1.2941176470588236,0.4117647058823529,O14,de-protonated,0.0,,C34 H44 O14,34.0,44.0,14.0,,,,,,
29,37,675.1549755628185,675.1566378161715,675.156673032128,2575876.8177066618,9739.935904820182,228971.69989893166,3.3243312782573917,-1,-0.05215968067760757,0.9849990287763533,0.0,0.590999417265812,16.0,1.032258064516129,0.5483870967741935,O17,de-protonated,0.0,,C31 H32 O17,31.0,32.0,17.0,,,,,,
30,40,673.28502090062,673.2866794509143,673.2865650051872,3275581.788751703,12320.271171315322,229607.9498799537,4.2273446152337035,-1,0.16998070821222697,0.8517015409442943,0.0,0.5110209245665766,13.0,1.3142857142857143,0.37142857142857144,O13,de-protonated,0.0,,C35 H46 O13,35.0,46.0,13.0,,,,,,
