,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O
4230,3759,268.0218000158906,268.02248621802283,,7921351.005079315,4111.534651636224,576787.19986441,7.3938494004010975,-1,,,,,,,,unassigned,,,,,,,,,,,,
4231,3760,268.0113596886039,268.01204587116484,,8312056.709932727,4046.4469936025307,576809.6999779664,7.758537083059185,-1,,,,,,,,unassigned,,,,,,,,,,,,
4232,3761,267.6786477083766,267.6793332667282,,3712475.8374222596,1755.0146865896286,462021.15996602306,3.4652532411361427,-1,,,,,,,,unassigned,,,,,,,,,,,,
4233,3765,267.1289370074736,267.12962153232235,,5109153.323258266,2561.689576914816,578714.6998792108,4.768922651137103,-1,,,,,,,,unassigned,,,,,,,,,,,,
4234,3767,267.1109146037235,267.11159909464266,,25206858.86145238,12331.89931598085,578754.199970289,23.528274174346933,-1,,,,,,,,unassigned,,,,,,,,,,,,
4235,3768,267.1049738584439,267.10565833817816,,6304052.705244707,3713.82209292956,578766.7000547777,5.884250841161126,-1,,,,,,,,unassigned,,,,,,,,,,,,
4236,3769,267.0981067555211,267.09879122232604,,4963235.218914721,2438.9648567376835,463025.35986483283,4.632721580433839,-1,,,,,,,,unassigned,,,,,,,,,,,,
4237,3771,267.08106430818845,267.0817487429041,,4410719.181730049,2114.9296642974978,578818.4498972018,4.116998900346773,-1,,,,,,,,unassigned,,,,,,,,,,,,
4238,3773,267.06859818904366,267.06928260028513,,5144469.463769289,2684.9130862454836,578845.4499168746,4.801887005850645,-1,,,,,,,,unassigned,,,,,,,,,,,,
4239,3774,267.06354299549304,267.064227397215,,5557870.128581835,2795.5791418187364,578856.4498884993,5.187758337103319,-1,,,,,,,,unassigned,,,,,,,,,,,,
4240,3776,267.0396934044771,267.0403777612844,,5951954.511220031,3049.588752240044,578908.4498813401,5.555599703356182,-1,,,,,,,,unassigned,,,,,,,,,,,,
4241,3777,267.03225378314113,267.03293812593677,,9849019.042116726,4700.843561528069,463139.56004283443,9.193149437816711,-1,,,,,,,,unassigned,,,,,,,,,,,,
4242,3778,267.0216871875714,267.0223715104652,,6639336.405963709,3712.8430273689155,578947.1999310444,6.1972072027635665,-1,,,,,,,,unassigned,,,,,,,,,,,,
4243,3780,267.00330895915664,267.00399324743324,,4705142.439407629,2451.7410413558077,463189.7599133178,4.391815812998116,-1,,,,,,,,unassigned,,,,,,,,,,,,
4244,3782,266.1333858192671,266.1340684654919,,4169078.498275551,1908.6467888506925,580879.950011948,3.891449644755534,-1,,,,,,,,unassigned,,,,,,,,,,,,
4245,3783,266.1153808612066,266.1160634733738,,6828778.572201679,3881.7849805411456,580918.9499323963,6.374033964555986,-1,,,,,,,,unassigned,,,,,,,,,,,,
4246,3784,266.097031209781,266.09771378723565,,7674134.67001429,3818.062636838286,580958.9497852323,7.1630957891019875,-1,,,,,,,,unassigned,,,,,,,,,,,,
4247,3785,266.09072581016727,266.09140837569305,,4385149.501016843,2266.54408914284,580972.6998043802,4.093131965490767,-1,,,,,,,,unassigned,,,,,,,,,,,,
4248,3786,266.0876111398859,266.0882936995191,,6709396.354820609,3301.2350052811944,464783.75996968226,6.262601692985697,-1,,,,,,,,unassigned,,,,,,,,,,,,
4249,3787,266.0789525597291,266.07963510298083,,5695134.0618087,3382.646658469548,580998.4499335506,5.315881538528855,-1,,,,,,,,unassigned,,,,,,,,,,,,
4250,3789,266.0607143177058,266.0613968264497,,6799766.129228182,3424.4125670504695,464830.75980993186,6.346953529167349,-1,,,,,,,,unassigned,,,,,,,,,,,,
4251,3790,266.04251137785724,266.04319385215723,,10964158.672541475,5821.904270478846,464862.5598196075,10.234029267847292,-1,,,,,,,,unassigned,,,,,,,,,,,,
4252,3791,266.0318409632779,266.0325234173857,,4898120.26078189,2326.8563971746908,581101.6996833413,4.571942782241603,-1,,,,,,,,unassigned,,,,,,,,,,,,
