,Index,m/z,Calibrated m/z,Calculated m/z,Peak Height,Peak Area,Resolving Power,S/N,Ion Charge,m/z Error (ppm),m/z Error Score,Isotopologue Similarity,Confidence Score,DBE,H/C,O/C,Heteroatom Class,Ion Type,Is Isotopologue,Mono Isotopic Index,Molecular Formula,C,H,O,S,N,13C,34S,18O,17O
0,0,699.1145054667501,699.1160190186366,699.116264770751,10048574.081983672,33147.03354751492,221124.9499097761,7.658711014284164,-1,-0.35151823338681726,0.5033484514791544,0.0,0.3020090708874926,15.0,1.037037037037037,0.7407407407407407,N2 O20,de-protonated,0.0,,C27 H28 O20 N2,27.0,28.0,20.0,,2.0,,,,
1,3,693.2082753224702,693.2097791864048,693.2094964523765,4269802.954033101,13608.579211999668,223008.94994485963,3.254311173513375,-1,0.4078623126300948,0.3968583263446719,0.0,0.23811499580680312,5.0,1.68,0.88,O22,de-protonated,0.0,,C25 H42 O22,25.0,42.0,22.0,,,,,,
2,6,690.2880139174229,690.2895129777131,690.2894828147923,6138523.9386966815,19269.469872397553,223951.94989743902,4.678592257685032,-1,0.04369604568902773,0.9894485918643703,0.0,0.5936691551186222,21.0,1.0714285714285714,0.14285714285714285,N1 S1 O6,de-protonated,0.0,,C42 H45 O6 S1 N1,42.0,45.0,6.0,1.0,1.0,,,,
3,10,680.1993025600385,680.2007849560051,680.2007109106266,12875446.231541036,53474.81315856396,227273.69988761112,9.81326515212998,-1,0.10885813157082652,0.9362864163497964,0.9951687714718374,0.9598393583986128,27.0,0.7804878048780488,0.21951219512195122,13C1 O9,de-protonated,1.0,11.0,C41 H32 O9 13C1,41.0,32.0,9.0,,,1.0,,,
4,11,679.1961548336968,679.1976355668321,679.1973560755544,28776640.84347358,140361.36338720834,130063.11423045021,21.93266172731479,-1,0.41150230526021114,0.6633116199592096,0.9951687714718374,0.7960544805642606,27.0,0.7619047619047619,0.21428571428571427,O9,de-protonated,0.0,,C42 H32 O9,42.0,32.0,9.0,,,,,,
5,12,679.0021656797694,679.0036460912235,679.003543690718,7535458.370254229,25031.67857416254,227674.69990092292,5.743292286755281,-1,0.15080997214664218,0.881303164356921,0.0,0.5287818986141526,23.0,0.5333333333333333,0.5666666666666667,S1 O17,de-protonated,0.0,,C30 H16 O17 S1,30.0,16.0,17.0,1.0,,,,,
6,18,671.1695588007758,671.1710261907929,671.1711413270267,6470405.996112319,21933.88633824516,230331.6998846246,4.93154245219369,-1,-0.1715452687713614,0.8491769757152663,0.0,0.5095061854291597,30.0,0.6511627906976745,0.18604651162790697,O8,de-protonated,0.0,,C43 H28 O8,43.0,28.0,8.0,,,,,,
7,21,665.2133883467475,665.2148457916383,665.2145818328048,9695457.947491512,30261.136695094214,232393.69992433052,7.389576865847585,-1,0.3968025365829329,0.41697261153871873,0.0,0.25018356692323124,4.0,1.75,0.875,O21,de-protonated,0.0,,C24 H42 O21,24.0,42.0,21.0,,,,,,
8,23,663.2832662471778,663.284720461302,663.2844570049357,4516753.346416114,14161.593631831434,233069.94994298424,3.4425290912691464,-1,0.3971996682376729,0.41624279971341943,0.0,0.24974567982805165,11.0,1.411764705882353,0.3235294117647059,S1 O11,de-protonated,0.0,,C34 H48 O11 S1,34.0,48.0,11.0,1.0,,,,,
9,25,658.1668205871647,658.1682662180779,658.1680906278054,23359318.431588497,72657.44348982896,187905.55992476604,17.803746869810716,-1,0.26678636494269686,0.3366997652202783,0.8691431286779006,0.5496771106033271,16.0,1.096774193548387,0.41935483870967744,13C1 S1 O13,de-protonated,1.0,27.0,C31 H34 O13 S1 13C1,31.0,34.0,13.0,1.0,,1.0,,,
10,26,658.1587473098189,658.1601929271668,658.1599847649261,7162154.254053087,21689.5093757064,234884.9499261411,5.458771485783796,-1,0.3162790894751171,0.5736499554256381,0.0,0.34418997325538286,16.0,1.064516129032258,0.41935483870967744,N1 S1 O13,de-protonated,0.0,,C31 H33 O13 S1 N1,31.0,33.0,13.0,1.0,1.0,,,,
11,27,657.1634867120572,657.1649306565749,657.1647357927332,105993733.4584947,322768.94014340197,235240.6999092278,80.78513103059315,-1,0.2965220608639189,0.32174036582298887,0.8691431286779006,0.5407014709649536,16.0,1.0625,0.40625,S1 O13,de-protonated,0.0,,C32 H34 O13 S1,32.0,34.0,13.0,1.0,,,,,
12,28,657.0203050949414,657.0217487987142,657.0216956786404,19340836.57488168,61044.82813421312,235291.94989246954,14.740984829588383,-1,0.0808498016024746,0.4821682654862512,0.7927089175546819,0.6063845263136235,16.0,0.75,0.9166666666666666,O22,de-protonated,0.0,,C24 H18 O22,24.0,18.0,22.0,,,,,,
13,37,641.1592924988671,641.1607094004896,641.1605766429769,9066154.43537036,30101.860120558245,241112.69989085346,6.909941277724564,-1,0.20705813414640983,0.3940289450171218,0.6860498980681444,0.5108373262375309,30.0,0.6190476190476191,0.16666666666666666,O7,de-protonated,0.0,,C42 H26 O7,42.0,26.0,7.0,,,,,,
14,40,635.2027468481074,635.2041536159218,635.204017148755,6077774.474614155,16015.909929731159,243373.6998885104,4.6322909032953685,-1,0.2148398987441351,0.7738143950340131,0.0,0.4642886370204078,4.0,1.7391304347826086,0.8695652173913043,O20,de-protonated,0.0,,C23 H40 O20,23.0,40.0,20.0,,,,,,
15,45,629.1500182150131,629.1514146471496,629.1511937285065,4803173.346849294,12998.362684298432,245714.6999360749,3.660829518188608,-1,0.35113760459607984,0.5040969022012217,0.0,0.302458141320733,16.0,1.0,0.5,O15,de-protonated,0.0,,C30 H30 O15,30.0,30.0,15.0,,,,,,
16,47,625.1184416340544,625.1198311604602,625.1198935995506,4436924.138860633,13731.143780869383,247299.69988341106,3.3816857491015333,-1,-0.0998833839652935,0.9460819765280805,0.0,0.5676491859168482,18.0,0.8666666666666667,0.5,O15,de-protonated,0.0,,C30 H26 O15,30.0,26.0,15.0,,,,,,
17,48,620.1456980055972,620.1470789905845,620.1468366238927,4738512.377548088,13810.494306843548,249282.69994767822,3.611546936029083,-1,0.3908214595913257,0.4280293944680395,0.0,0.2568176366808237,10.0,1.2916666666666667,0.75,N1 O18,de-protonated,0.0,,C24 H31 O18 N1,24.0,31.0,18.0,,1.0,,,,
